OLH;SPO;7;4;1.5;6.5;4;1.48;5.5;3.8;1.5;6.5;3.8;1.45;7.89;4.16;1.51;6.5;3.75;1.5;7.5;3.75;1.5;7.5;4.1;1.5
SET;MAR;2.9;3.2;2.45;2.75;3;2.6;2.6;3;2.6;2.75;3;2.45;3.03;3.14;2.63;2.8;3.1;2.45;2.8;3.2;2.5;2.9;3.25;2.55
BRA;EST;1.57;3.8;6;1.6;3.75;5.25;1.55;3.7;5;1.6;3.6;5.25;1.63;4;6.04;1.6;3.75;5;1.57;3.6;5.75;1.65;4;5.5
ARO;BRA;4.75;3.6;1.73;5.75;3.5;1.6;4.3;3.4;1.7;5.25;3.5;1.62;5.36;3.74;1.74;4.6;3.4;1.73;5;3.5;1.67;5.4;3.7;1.7
BEL;MAR;2.9;3.4;2.38;2.95;3;2.45;2.8;3.1;2.3;2.8;3.1;2.35;3.03;3.39;2.47;2.8;3.2;2.37;2.8;3.25;2.38;2.9;3.4;2.5
GIL;OLH;2;3.4;3.75;1.95;3.2;4;1.9;3.2;3.6;1.95;3.1;3.8;2.14;3.35;3.8;1.95;3.2;3.8;2.05;3.2;3.6;2.15;3.25;3.75
SPO;RIO;1.36;4.2;11;1.36;4.5;8.25;1.35;4.2;7.5;1.36;4.1;8.5;1.38;4.88;10.06;1.36;4.33;8;1.36;4.33;9;1.36;4.8;9
EST;POR;8.5;4.33;1.4;7.25;4.4;1.4;7.5;4.2;1.35;7.5;4.33;1.36;8.89;4.8;1.41;6.5;4.2;1.44;8;4.33;1.4;8.5;4.8;1.4
GUI;BEN;8.5;4.33;1.4;7;4;1.45;6.5;4;1.4;7;4.1;1.4;8.25;4.63;1.44;7;4;1.44;7.5;4;1.4;8.5;4.6;1.4
NAC;ACA;1.91;3.4;4;1.95;3.2;3.9;1.9;3.2;3.6;1.95;3.1;3.6;2.06;3.39;3.99;1.91;3.3;3.75;1.95;3.3;3.75;2.05;3.4;4
PAC;SET;1.85;3.4;4.33;1.83;3.3;4.25;1.8;3.2;4;1.85;3.3;4;1.95;3.54;4.26;1.73;3.4;4.5;1.9;3.3;4;1.95;3.5;4.1
POR;GUI;1.18;6.5;15;1.17;6.5;13.5;1.17;5.7;12;1.18;6;16;1.2;7.35;18.4;1.18;6;13;1.18;6.5;12;1.2;7;17
ACA;ARO;2.1;3.4;3.3;2.15;3;3.5;2;3.2;3.3;2.2;3;3.2;2.25;3.41;3.41;2.1;3.1;3.4;2.1;3.25;3.25;2.3;3.3;3.3
BEN;BEL;1.13;8.5;17;1.14;7;16;1.15;6;13;1.15;6.5;18;1.17;8.1;18.7;1.17;6;15;1.17;7.5;12;1.17;8;17
MAR;PAC;2.1;3.2;3.6;2.1;3.2;3.4;2;3.2;3.3;2.1;3;3.4;2.25;3.35;3.48;2;3.2;3.6;2.2;3.2;3.3;2.25;3.3;3.4
OLH;EST;3.8;3.3;2;3.9;3.25;1.95;3.3;3.2;2;3.9;3.1;1.9;4.33;3.35;2.02;3.6;3.2;2;3.8;3.2;1.95;4.2;3.3;2
RIO;NAC;2.1;3.2;3.6;2;3.25;3.7;2.1;3.1;3.2;2.1;2.9;3.5;2.18;3.37;3.65;2.1;3.25;3.25;2.1;3.2;3.4;2.15;3.3;3.6
BRA;SPO;2.4;3.4;2.8;2.5;3.2;2.75;2.5;3.1;2.6;2.4;3.1;2.75;2.46;3.36;3.07;2.38;3.2;2.8;2.4;3.25;2.8;2.45;3.4;3
SET;GIL;2.2;3.3;3.25;2.2;3;3.4;2.2;3.1;3;2.15;3.1;3.2;2.29;3.38;3.36;2.15;3.1;3.3;2.2;3.2;3.25;2.25;3.3;3.3
ACA;RIO;3;3.25;2.38;3;3;2.4;2.7;3.1;2.4;3;2.9;2.35;3.21;3.19;2.47;3;3.1;2.3;3;3.13;2.38;3.25;3.2;2.4
