SIGN, B365D, BWD, IWD, LBD, PSD, WHD, SJD, VCD
0, 3.2, 3.1, 3.1, 3, 3, 3.43, 3.2, 3.2
0, 3.2, 3.1, 3.1, 2.9, 3, 3.26, 3.2, 3.13
1, 3.1, 3.1, 3.1, 2.9, 3, 3.31, 3.1, 3.2
0, 3.3, 3.25, 3.25, 3.1, 3.2, 3.58, 3.2, 3.3
0, 3.4, 3.4, 3.4, 3.1, 3.2, 3.44, 3.2, 3.3
0, 3.1, 3.1, 3.1, 3, 3, 3.26, 3, 3.13
0, 5.25, 5.75, 5.75, 4.8, 5, 6.01, 6, 5.25
1, 3.3, 3.2, 3.2, 3.1, 3, 3.43, 3.25, 3.25
1, 3.1, 3.1, 3.1, 2.9, 3, 3.31, 3.1, 3.13
1, 3.1, 3, 3, 2.8, 3, 3.28, 3.1, 3.13
0, 3.3, 3.2, 3.2, 3.05, 3, 3.43, 3.1, 3.2
0, 3.75, 4.33, 4.33, 3.6, 3.8, 4.48, 4.2, 4
0, 3.3, 3.1, 3.1, 3.1, 3.2, 3.47, 3.2, 3.3
1, 3.2, 3, 3, 3, 3, 3.3, 3.1, 3.2
0, 7, 7, 7, 5.7, 6, 7.66, 6, 6.5
0, 3.5, 3.3, 3.3, 3, 3.2, 3.58, 3.25, 3.3
0, 3.6, 3.3, 3.3, 3.3, 3.4, 3.74, 3.4, 3.6
0, 4.75, 4.5, 4.5, 4, 4.33, 4.95, 4.5, 4.33
1, 3.3, 3.15, 3.15, 3.1, 3.2, 3.46, 3.2, 3.3
0, 5, 5, 5, 4.4, 4.5, 5.59, 4.6, 5
1, 3.2, 3.1, 3.1, 3, 3, 3.3, 3, 3.2
0, 3.2, 3.1, 3.1, 3.2, 3, 3.51, 3.4, 3.25
1, 3.3, 3.4, 3.4, 3.1, 3, 3.4, 3.1, 3.4
0, 3.1, 3.1, 3.1, 3, 3, 3.26, 3, 3.13
0, 3.3, 3.3, 3.3, 3.1, 3, 3.46, 3.2, 3.3
0, 3.3, 3.1, 3.1, 3.2, 3.2, 3.48, 3.2, 3.25
0, 3.25, 3.1, 3.1, 3.1, 3, 3.33, 3, 3.2
0, 3.2, 3.1, 3.1, 3, 3, 3.25, 3, 3.13
0, 4.2, 4.5, 4.5, 3.7, 4, 4.63, 3.8, 4.33
0, 6.5, 6.25, 6.25, 5.4, 6, 6.9, 6, 6.25
0, 3.3, 3.1, 3.1, 3.1, 3.2, 3.46, 3.2, 3.3
0, 3.4, 3.25, 3.25, 3.1, 3.2, 3.41, 3.1, 3.3
0, 3.3, 3.25, 3.25, 3.1, 3.2, 3.44, 3.1, 3.2
0, 5, 5, 5, 4, 4.5, 5.19, 4.8, 5
0, 3.2, 3, 3, 3, , 3.4, 3.2, 3.13
0, 5.75, 5.25, 5.25, 4.4, , 7.06, 5, 5.75
0, 5.5, 5.5, 5.5, 4.6, , 6.43, 5, 5.8
0, 3.4, 3.1, 3.1, 3.1, 3.25, 3.44, 3.2, 3.25
0, 3.4, 3.4, 3.4, 3.1, 3.25, 3.51, 3.4, 3.3
1, 3.25, 3.25, 3.25, 3.1, 3.3, 3.44, 3.2, 3.3
1, 3.1, 3.1, 3.1, 3, 3.1, 3.24, 3, 3.13
0, 3.2, 3.2, 3.2, 3.1, 3.25, 3.34, 3.1, 3.25
0, 3.1, 3.1, 3.1, 3.1, 3.2, 3.41, 3.2, 3.2
1, 3.75, 3.7, 3.7, 3.6, 4, 4.23, 4, 3.75
0, 6.5, 7, 7, 6, 7, 8.2, 6.5, 7
0, 4.75, 4.75, 4.75, 4, 4.5, 5.09, 4.5, 4.33
0, 3.25, 3.25, 3.25, 3, 3.2, 3.39, 3, 3.25
1, 3.6, 3.5, 3.5, 3.3, 3.3, 3.88, 3.4, 3.5
0, 9, 8, 8, 6.5, 7, , 8.5, 9
0, 3.1, 2.9, 2.9, 3, 3.1, 3.24, 3, 3.13
0, 3.8, 3.7, 3.7, 3.4, , 4.08, 3.6, 3.75
1, 3.2, 2.9, 2.9, 3, 3.1, 3.33, 3.1, 3.13
0, 3.25, 3.1, 3.1, 3.1, 3.2, 3.46, 3.2, 3.2
0, 3.4, 3.1, 3.1, 3.1, 3.1, 3.45, 3.25, 3.25
0, 3.2, 3, 3, 3, 3, 3.28, 3.1, 3.2
0, 3.2, 3, 3, 3, 3, 3.34, 3.2, 3.13
1, 4, 4.2, 4.2, 3.6, 4, 4.71, 4.33, 4
1, 10, 9, 9, 6.5, 8, , 8, 9.5
0, 3.2, 2.95, 2.95, 3, 3.1, 3.39, 3.2, 3.13
0, 3.6, 3.4, 3.4, 3.4, 3.6, 3.78, 3.5, 3.6
0, 3.6, 3.75, 3.75, 3.4, 3.75, 4.14, 3.6, 3.75
0, 5.5, 5.75, 5.75, 4.6, 5, 6.2, 5, 5.75
0, 3.25, 3.2, 3.2, 2.9, 3.1, 3.38, 3.1, 3.25
0, 6, 6, 6, 5, 6, 6.9, 6, 6.25
0, 3.25, 3, 3, 3, , 3.44, 3.25, 3.3
0, 3.25, 3.1, 3.1, 3, 3, 3.28, 3.1, 3.2
0, 3.3, 3, 3, 2.9, 3.2, 3.46, 3.25, 3.3
1, 3.3, 3.25, 3.25, 3.1, 3.2, 3.5, 3.25, 3.3
1, 3.4, 3.25, 3.25, 3, 3.2, 3.62, 3.4, 3.3
0, 3.25, 3.25, 3.25, 3, 3, 3.4, 3.1, 3.2
0, 6, 6.25, 6.25, 5.4, 5.5, , 5.5, 6.5
0, 3.25, 3.1, 3.1, 3, 3, 3.31, 3.1, 3.2
0, 4, 4.2, 4.2, 3.5, 3.8, 4.54, 4, 4
0, 5.25, 5.5, 5.5, 4.8, 5, 5.7, 5, 5
1, 3.2, 3, 3, 3, 3, 3.29, 3, 3.13
0, 3.5, 3.4, 3.4, 3.2, 3.25, 3.68, 3.4, 3.4
0, 3.2, 3, 3, 3, 3, 3.29, 3.1, 3.13
0, 3.6, 3.4, 3.4, 3.3, 3.5, 3.91, 3.5, 3.5
1, 3.75, 3.5, 3.5, 3.3, 3.4, 3.87, 3.5, 3.6
0, 5.5, 5.25, 5.25, 4.8, 5, 5.7, 5, 5
