SIGN, B365D, BWD, IWD, LBD, PSD, WHD, SJD, VCD
1, 3.2, 3.1, 3.2, 3, 3.1, 3.15, 3.1, 3.2
0, 7.5, 7.75, 7, 6, 7, 7.5, 7, 7.5
1, 3.2, 3, 3.1, 3, 3, 3.1, 3, 3.2
0, 7.5, 6.75, 7, 5.7, 6.5, 7.5, 6.5, 7
0, 3.25, 3, 3.1, 3.1, 3, 3.15, 3.1, 3.2
1, 3.25, 3.2, 3.2, 3, 3.25, 3.2, 3.2, 3.25
0, 3.2, 2.95, 3.1, 2.9, 3.2, 3.1, 3, 3.1
0, 3.2, 3.2, 3.1, 3, 3, 3.15, 3.1, 3.2
1, 3.3, 3.2, 3.2, 3.1, 3.2, 3.2, 3.2, 3.25
0, 3.1, 3, 3, 3, 2.88, 3.1, 2.9, 3
0, 7.5, 7.25, 6, 5.7, 6.5, 7.5, 6.5, 7.5
0, 3.3, 3.25, 3.2, 3, 3.25, 3.2, 3.2, 3.25
0, 3.2, 3.1, 3.2, 3, 3, 3.1, 3, 3.25
0, 5.5, 5.5, 4.5, 5, 5.5, 5, 4.75, 5
0, 4.33, 4.33, 4.2, 4.4, 4.33, 4.33, 4.2, 4.2
1, 3.6, 3.6, 3.5, 3.3, 3.25, 3.5, 3.4, 3.6
0, 3.4, 3.25, 3.25, 3.1, 3, 3.2, 3.2, 3.3
0, 5.5, 4.75, 4.5, 4.4, 4.5, 4.5, 4.75, 4.75
1, 3.3, 3.1, 3.2, 3, 3, 3.1, 3.1, 3.25
0, 5, 4.5, 4.33, 4, 4.33, 4.33, 4.6, 4.5
0, 3.3, 3.1, 3.1, 3, 3, 3.1, 3.2, 3.2
0, 3.3, 3, 3.1, 2.9, 3, 3, 3, 3.1
0, 4.33, 4.33, 4.33, 4, 4.2, 4.33, 4.5, 4.5
0, 3.4, 3.2, 3.2, 3, 3, 3.15, 3.1, 3.25
0, 6, 5.25, 5.25, 4.6, 5.5, 5.75, 5.5, 5.25
0, 7.5, 6.25, 6.5, 5.4, 6.5, 7.5, 6, 7
0, 3.25, 3.2, 3.2, 3, 3, 3.1, 3.2, 3.2
0, 3.1, 3, 3, 2.8, 2.88, 3.05, 3, 3
0, 3.2, 3.1, 3.1, 2.9, 3, 3, 3, 3.2
0, 3.2, 3.1, 3.2, 3, 3, 3.15, 3.1, 3.2
0, 9, 6.5, 6.5, 5.4, 6.5, 7.5, 6.5, 8
0, 3.2, 3, 3.1, 2.8, 3, 3.05, 3.1, 3.1
0, 3.2, 3, 3, 2.8, 3, 3, 2.9, 3.1
0, 3.4, 3.25, 3.25, 3.1, 3.2, 3.25, 3.4, 3.3
1, 3.1, 3, 3, 2.8, 3, 3, 3, 3
1, 3.2, 3.1, 3.1, 2.9, 3, 3.1, 3, 3.2
0, 3.25, 3.2, 3.2, 3, 3, 3.25, 3.2, 3.2
0, 4.75, 4.75, 4.5, 4.4, 4.5, 4.75, 4.8, 4.75
0, 4.2, 4.1, 4, 3.7, 3.75, 4.33, 4.2, 3.9
0, 3.75, 3.75, 3.6, 3.5, 3.4, 3.7, 3.6, 3.75
0, 4, 3.8, 3.6, 3.4, 3.4, 3.75, 3.6, 3.75
1, 4.5, 4.2, 4, 3.7, 4, 4.33, 4, 4.2
0, 3.4, 3.2, 3.25, 3.1, 3.25, 3.25, 3.2, 3.2
1, 3.1, 3, 3, 2.8, 3, 3.1, 3, 3.1
0, 3.1, 3.1, 3.1, 3.1, 3, 3.1, 3, 3.1
0, 8.5, 7.25, 7.5, 6, 7, 8, 8.5, 8
0, 4.2, 3.9, 4, 3.7, 3.4, 4, 3.8, 4
0, 3.75, 3.4, 3.6, 3.4, 3.4, 3.6, 3.5, 3.75
0, 3.2, 3.3, 3.2, 3, 3, 3.25, 3.25, 3.3
0, 3.2, 3.2, 3.1, 3.1, 3.2, 3.25, 3.2, 3.2
0, 3.6, 3.6, 3.5, 3.3, 3.25, 3.6, 3.4, 3.5
1, 3.1, 3, 3, 2.9, 3, 3.05, 3, 3.1
0, 3.2, 3.1, 3.1, 3, 3, 3.2, 3.1, 3.2
0, 3.1, 3.1, 3.1, 3, 3.1, 3.1, 3.1, 3.1
0, 3.1, 3, 3.2, 2.8, 3, 3.1, 3.2, 3.2
0, 3, 3.1, 3, 3, 2.9, 3.05, 3, 3.1
0, 3.75, 3.8, 3.6, 3.5, 3.25, 3.7, 3.5, 4
1, 8, 6.75, 6.5, 6, 7.5, 8, 7, 7
0, 6, 5.5, 5.25, 4.6, 5.5, 5.5, 6, 5.75
0, 3.1, 3, 3, 2.9, 3, 3, 3, 3.1
1, 3, 3, 3, 2.9, 2.9, 3, 3.1, 3
0, 4, 4, 3.75, 3.7, 4, 4, 3.8, 4.2
0, 3.2, 3.2, 3.2, 3.1, 3, 3.05, 3.1, 3.2
0, 3.5, 3.4, 3.4, 3.2, 3.25, 3.6, 3.4, 3.5
0, 8, 7, 6.75, 6, 5.5, 8, 7, 7
0, 4.2, 4.1, 4, 3.7, 3.75, 4.2, 4, 4.2
0, 3.75, 3.75, 3.6, 3.7, 3.4, 3.75, 3.8, 3.75
0, 3.1, 2.95, 3.1, 3.1, 3, 3.1, 3, 3.1
0, 3.1, 3, 3, 3, 3, 3.05, 3, 3.1
1, 3.4, 3.2, 3.3, 3.2, 3.2, 3.5, 3.3, 3.4
1, 3.25, 3.1, 3.2, 3.1, 3, 3.25, 3.2, 3.2
0, 3.4, 3.25, 3.25, 3.2, 3.25, 3.4, 3.2, 3.4
1, 4.33, 4.25, 4, 3.7, 3.75, 4.2, 3.6, 4.2
0, 5, 4.6, 4.5, 4.6, 4.2, 5, 4.5, 4.75
0, 3, 3, 3, 3.1, 2.9, 3.05, 3.1, 3.2
1, 4.33, 4.4, 4.33, 4.6, 4, 4.5, 4.2, 4.33
0, 3.1, 3, 3.1, 3.1, 2.9, 3.05, 3.1, 3.2
0, 3.2, 3.1, 3.1, 3.1, 3, 3.1, 3.1, 3.2
0, 3.5, 3.4, 3.4, 3.5, 3.25, 3.5, 3.4, 3.6
0, 4.75, 4.75, 4.5, 5, 4.5, 4.75, 4.2, 4.5
0, 3.1, 3, 3.1, 3, 3, 3.15, 3.1, 3.2
0, 3.6, 3.6, 3.5, 3.2, 3.25, 3.5, 3.3, 3.5
0, 7, 6, 6.5, 5.7, 6, 7, 6, 7
0, 3.1, 3, 3.1, 2.9, 3, 3.1, 3, 3.1
0, 3.25, 3.2, 3.2, 3.1, 3.2, 3.1, 3.2, 3.2
0, 3.25, 3.2, 3.1, 3.1, 3.25, 3.25, 3.2, 3.25
0, 3.3, 3.3, 3.3, 3.2, 3.2, 3.4, 3.3, 3.5
0, 3.2, 3.1, 3.1, 3.1, 3, 3.2, 3.2, 3.25
0, 3.1, 3, 3.1, 2.9, 3, 3.1, 3, 3.1
1, 3.1, 3, 3.1, 3, 2.88, 3, 3, 3.1
0, 3.2, 3, 3.1, 3, 2.88, 3.1, 3.1, 3.2
0, 3.25, 3.2, 3.25, 3, 3, 3.25, 3.2, 3.3
0, 3.1, 3, 3.1, 2.9, 3, 3.1, 3.1, 3.1
1, 3.5, 3.4, 3.4, 3.2, 3.25, 3.5, 3.3, 3.4
0, 3.25, 3.3, 3.2, 3, 3, 3.25, 3.2, 3.2
0, 3.3, 3.2, 3.2, 3.1, 3, 3.2, 3.2, 3.3
1, 3.6, 3.5, 3.5, 3.4, 3.25, 3.8, 3.5, 3.6
0, 5, 5, 4.75, 4.6, 4.5, 5, 5, 5
0, 3.5, 3.6, 3.4, 3.4, 3.5, 3.5, 3.4, 3.5
0, 7.5, 7.25, 7, 6, 7, 8, 7, 7
0, 3.1, 3, 3, 3.1, 3, 3.1, 3, 3.1
1, 3.2, 3.1, 3.1, 2.7, 3, 3.1, 3.2, 3.1
0, 3.2, 3.2, 3.1, 3.1, 3, 3.15, 3.1, 3.2
0, 3.2, 3.1, 3.1, 3.1, 3, 3.1, 3.1, 3.2
0, 5, 5, 4.75, 4.8, 4, 4.75, 4.5, 5
0, 3.1, 3.1, 3.1, 3, 3.1, 3.1, 3.1, 3.1
0, 4, 3.8, 3.75, 3.7, 4, 3.8, 3.75, 4
0, 3.2, 3.1, 3.1, 3.1, 2.9, 3.1, 3.1, 3.1
0, 3.2, 3.1, 3.1, 3.1, 2.9, 3.1, 3, 3.1
1, 3.8, 3.75, 3.6, 3.6, 3.75, 3.75, 3.6, 3.75
0, 3.1, 3.1, 3.1, 3.1, 3.1, 3.1, 3.1, 3.1
0, 3.8, 4, 4, 3.7, 4, 4.2, 4, 4.2
0, 3.5, 3.4, 3.25, , 3, 3.5, 3.4, 3.3
0, 3.2, 3.1, 3.3, , 2.88, 3.15, 3.2, 3.2
0, 3.5, 3.4, 3.4, 3.4, 3, 3.4, 3.4, 3.4
1, 3.2, 2.95, 3, 2.7, 2.88, 3, 3.1, 3.2
1, 3.2, 3.1, 3, , 3, 3, 3, 3.2
0, 3.6, 3.5, 3.6, 3.3, 3.4, 3.6, 3.6, 3.6
0, 5, 5, 5, 4.6, 4, 4.75, 5.5, 5
0, 3.2, 3.1, 3.2, 3, 2.8, 3.1, 3, 3.13
0, 3.25, 3.2, 3.2, , 3.2, 3.4, 3.2, 3.2
0, 3.1, 2.85, 3.1, 2.7, 2.75, 3.15, 3.1, 3.2
1, 3.4, 3.5, 3.3, 3.2, 3.2, 3.4, 3.3, 3.5
0, 4.2, 4.2, 4, 3.6, 3.4, 4.2, 4, 4.33
0, 4.33, 4.2, 4, 3.6, 4, 4.33, 4.33, 4.33
0, 3.25, 3.1, 3.2, 3.1, 3, 3.2, 3.1, 3.25
0, 4.5, 4.4, 4.25, 3.6, 4.5, 4, 4.33, 4.33
0, 3.5, 3.3, 3.2, 3.1, 3.25, 3.25, 3.3, 3.25
0, 4.5, 3.7, 4, 3.5, 3.6, 4, 4, 4
0, 3.4, 3.3, 3.25, 3.2, 3.2, 3.25, 3.4, 3.25
1, 3, 2.95, 3, 2.9, 3.1, 3, 2.9, 3
0, 6.5, 5.25, 5.5, 5, 5.5, 5.75, 5.5, 5.5
0, 3, 2.95, 3, 3, 3.1, 3.1, 2.9, 3.1
1, 3, 3, 3, 3, 3.2, 3, 3, 3.1
1, 3.3, 3.1, 3.2, 3.1, 3.25, 3.25, 3.25, 3.2
0, 3.5, 3.7, 3.5, 3.3, 3.5, 3.6, 3.6, 3.6
1, 3.4, 3.25, 3.25, 3.1, 3.25, 3.25, 3.4, 3.25
1, 3.1, 2.95, 3, 2.9, 3.2, 3, 3.1, 3
0, 3.2, 2.95, 3, 2.9, 3.1, 3.05, 3, 2.9
0, 6.5, 5.75, 5.75, 5.4, 6.5, 6, 6, 6.2
0, 3.7, 3.7, 3.75, 3.5, 3.6, 4, 3.6, 3.8
1, 3.4, 3.4, 3.25, 3.3, 3.25, 3.3, 3.25, 3.3
0, 5.5, 5.5, 5.25, 4.6, 5, 5.5, 5, 5.75
0, 3.1, 2.95, 3, 2.9, 3.2, 3, 3.1, 3.1
0, 3, 2.95, 3, 2.9, 3.1, 3, 3, 2.88
0, 3.1, 2.9, 3, 2.9, 3.2, 3, 3, 2.88
1, 3.4, 3.1, 3.25, 3, 3.25, 3.25, 3.3, 3
0, 4.33, 4, 4.1, 3.7, 3.75, 3.75, 4, 4.5
0, 3.8, 3.8, 3.5, 3.6, 3.25, 3.6, 3.6, 3.5
0, 3.4, 3.2, 3.25, 3, 3.2, 3.25, 3.3, 3.25
0, 3.5, 3.7, 3.3, 3.2, 3.2, 3.25, 3.4, 3.4
0, 3.8, 3.6, 3.5, 3.4, 3.25, 3.4, 3.6, 4.2
1, 5, 4.4, 4.5, 4.6, 4.5, 4.8, 4.5, 5.25
0, 3.2, 3.1, 3, 3, 3.2, 3.15, 3.1, 3.1
0, 3, 2.95, 3, 3, 3.1, 2.95, 3.1, 2.9
1, 3.25, 3.1, 3.1, 3.1, 3.2, 3.1, 3.2, 3.1
0, 3, 2.95, 3, 2.9, 3, 3, 3, 2.9
1, 3.1, 2.95, 3, 3, 3, 3.1, 3, 2.9
0, 3.1, 3, 3.1, 3, 3.2, 3.1, 3, 3.1
1, 3, 2.95, 3, 2.9, 3.1, 3.05, 3, 3
0, 3.4, 3.4, 3.4, 3.3, 3.3, 3.4, 3.4, 3.5
0, 3.25, 3.3, 3.25, 3.1, 3.2, 3.25, 3.2, 3.3
1, 3, 2.95, 3, 3, 3.2, 3.15, 3, 3.2
1, 3.25, 3.3, 3.2, 3.1, 3.2, 3.2, 3.25, 3.3
1, 3, 2.95, 3, 2.9, 3.25, 3, 3.1, 3.1
0, 3.7, 3.7, 3.6, 3.5, 3.5, 3.75, 3.6, 3.4
0, 4.2, 4.1, 4, 3.6, 3.6, 4.2, 3.75, 4
0, 3, 2.95, 3, 3, 3.1, 2.95, 3.1, 3.1
0, 3.5, 3.6, 3.3, 3.1, 3.25, 3.3, 3.25, 3.4
0, 6.5, 6, 6, 5.7, 5.5, 7, 6, 6.5
0, 3.2, 3, 3.1, 3, 3.1, 3.1, 3.1, 3
0, 3, 2.95, 3, 3, 3, 3, 3, 3.1
1, 3.8, 3.75, 3.6, 3.7, 3.4, 3.75, 3.75, 3.8
0, 3.1, 3, 3, 2.9, 3.1, 2.9, 3, 2.88
0, 3, 2.95, 3, 2.9, 3.2, 3, 3, 2.9
0, 3.2, 3.15, 3.1, 3, 3.2, 3, 3.2, 3
0, 3.4, 3.5, 3.4, 3.2, 3.3, 3.4, 3.4, 3.25
0, 3.3, 3.25, 3.3, 3.2, 3.3, 3.3, 3.2, 3.3
0, 3, 2.95, 3, 2.9, 3.2, 2.95, 3, 2.9
1, 3, 3, 3, 2.9, 3.1, 3, 3, 2.88
1, 3.25, 3.3, 3.25, 3.1, 3.3, 3.3, 3.25, 3.25
1, 3.6, 3.6, 3.4, 3.4, 3.25, 3.4, 3.5, 3.5
0, 3.1, 3, 3, 3, 3, 3, 3.1, 2.88
1, 3.2, 3.1, 3.1, 3.1, 3.2, 3.1, 3.2, 3.1
0, 3.1, 3, 3, 3, 3.1, 3, 3, 3
0, 3.75, 3.6, 3.5, 3.4, 3.4, 3.5, 3.4, 3.75
0, 3.4, 3.25, 3.2, 3, 3.2, 3.1, 3.25, 3.25
0, 4.5, 3.8, 4, 3.7, 3.6, 4, 3.6, 4.2
0, 4.33, 4.1, 4.25, 4, 4, 4.2, 4, 4.75
0, 6.25, 5.5, 5.5, 5, 5.5, 6, 6, 6.75
0, 5.75, 5.25, 5.75, 4.6, 5, 6, 5.5, 6
0, 3.8, 3.9, 3.6, 3.6, 3.4, 3.6, 3.6, 3.6
0, 3.4, 3.25, 3.25, 3.1, 3.25, 3.25, 3.4, 3.3
0, 3.1, 3, 3, 3, 3.2, 3, 3.2, 3
0, 3.25, 3.3, 3.25, 3.1, 3.2, 3.25, 3.25, 3.2
0, 3.3, 3.2, 3.25, 3.1, 3.2, 3.15, 3.2, 3.2
1, 3.1, 2.95, 3, 3, 3.1, 3, 3.1, 3.1
0, 3.6, 3.6, 3.5, 3.4, 3.5, 3.5, 3.4, 3.5
1, 3, 3, 3, 3, 3.2, 3, 2.75, 3.1
0, 3.1, 2.95, 3, 2.9, 3.1, 2.9, 3, 3.1
1, 3.1, 2.95, 3, 3, 3.2, 3.1, 3.1, 3.1
1, 3.25, 3.1, 3.2, 3, 3.2, 3.1, 3.1, 3.25
1, 3, 2.95, 3, 2.9, 3.1, 3, 2.9, 2.9
0, 3.5, 3.3, 3.25, 3.1, 3.2, 3.25, 3.25, 3.4
0, 4, 3.9, 3.6, 3.4, 3.75, 3.75, 3.75, 4
0, 3.8, 3.7, 3.75, 3.4, 3.5, 3.5, 3.4, 3.75
1, 3.2, 2.95, 3.1, 2.9, 3.2, 3, 3.1, 3
0, 3.2, 3.2, 3.1, 3.1, 3.2, 3.2, 3.25, 3.1
0, 3.2, 3, 3, 2.9, 3.2, 3.1, 3.1, 3
0, 6, 5, 5.5, 5.4, 5.5, 5.75, 6, 6
0, 3.25, 3.1, 3.2, 3, 3.2, 3.1, 3.2, 3.1
1, 3.2, 3, 3, 2.9, 3.2, 3.05, 3, 2.8
0, 7, 6.75, 6.5, 5.7, 6.5, 7, 6.5, 7
0, 3.2, 3, 3, 3, 3.2, 3, 3, 3.2
0, 3.2, 3, 3, 3, 3.2, 3, 3.1, 3
0, 3.1, 2.95, 3, 3, 3.2, 3, 3.1, 2.88
0, 3.1, 3, 3.1, 3, 3.2, 3, 3.2, 2.9
1, 3.25, 3.5, 3.25, 3.1, 3.2, 3.3, 3.2, 3.4
0, 3.7, 3.75, 3.6, 3.4, 3.4, 3.6, 3.6, 3.6
0, 3.2, 2.95, 3, 3, 3.2, 2.95, 3.1, 3.1
0, 3.4, 3.5, 3.4, 3.4, 3.2, 3.4, 3.4, 3.5
0, 3.1, 2.95, 3, 3, 3.2, 3, 3.1, 3.1
0, 6, 5.25, 5.5, 5, 5.5, 5.75, 5.5, 7
1, 3.5, 3.6, 3.5, 3.2, 3.25, 3.5, 3.2, 3.4
0, 3.1, 3, 3, 3, 3.1, 3, 3, 3
0, 3.6, 3.6, 3.6, 3.4, 3.4, 3.4, 3.6, 3.75
1, 3.1, 3, 3, 2.8, 3.2, 3, 3, 2.88
0, 7, 6.5, 6.5, 5.7, 6.5, 7, 6, 8
0, 3.6, 3.5, 3.6, 3.4, 3.25, 3.6, 3.3, 3.6
0, 3.25, 3.2, 3.1, 2.9, 3, 3.1, 3.1, 3
0, 3.6, 3.4, 3.5, 3.4, 3.25, 3.4, 3.4, 3.4
0, 3, 2.95, 3, 3, 3.2, 3, 3, 2.9
0, 6, 5.25, 5.5, 5, 5, 6, 6, 6.25
1, 3.6, 3.4, 3.4, 3.5, 3.25, 3.4, 3.6, 3.5
0, 3, 2.95, 3, 3, 3.25, 3, 3, 2.9
1, 3, 3, 3, 2.9, 3.2, 2.95, 3, 3
0, 4, 4, 4, 3.7, 3.75, 4, 4, 4
0, 3.6, 3.3, 3.4, 3.4, 3.3, 3.4, 3.4, 3.4
0, 3.2, 2.95, 3, 3, 3, 3, 2.9, 3.1
0, 6.75, 6.25, 6, 5, 6, 7, 6, 6.5
0, 3.25, 3.1, 3.2, 3.1, 3.1, 3.25, 3.2, 3.3
1, 3.1, 2.85, 3.1, 3, 3.2, 3.1, 3, 3.1
0, 3.75, 3.8, 3.75, 3.6, 4, 3.75, 3.75, 3.75
0, 3.6, 3.5, 3.4, 3.4, 3.4, 3.5, 3.5, 3.5
1, 3.25, 3.1, 3.2, 3.1, 3.2, 3.25, 3, 3.25
0, 3, 2.9, 3, 3, 3.2, 3, 3, 3.1
0, 3.5, 3.4, 3.3, 3.1, 3.25, 3.4, 3.4, 3.4
0, 3.4, 3.1, 3.3, 3.1, 3.25, 3.4, 3.2, 3.3
0, 4.5, 4.33, 4.5, 4.4, 3.75, 4.5, 4.5, 5.25
0, 3.8, 3.9, 3.6, 3.4, 3.75, 3.6, 3.6, 3.75
0, 3.25, 2.9, 3.1, 3, 3.2, 3.2, 3.1, 3.2
0, 3.4, 3.1, 3.25, 3.3, 3.1, 3.25, 3.3, 3.25
0, 8, 7.25, 8, 6, 6.5, 8, 7.5, 8.5
0, 3, 2.9, 3, 3, 3.1, 2.95, 3, 3
0, 4.2, 4.4, 4, 3.7, 4.33, 4, 4.33, 4.33
0, 5.25, 5.5, 5.5, 4.8, 4.5, 5.5, 4.75, 5.25
1, 3.2, 3, 3.1, 3.2, 3.1, 3.05, 3.2, 3.25
0, 3.1, 2.85, 3, 2.9, 3, 2.9, 3, 3.2
1, 3.2, 3.1, 3, 2.9, 3.1, 3.1, 3.2, 3.3
0, 3, 2.9, 3, 2.9, 3.1, 3.05, 2.9, 3
1, 4.4, 4, 4, 3.6, 3.5, 4, 4.33, 4.33
0, 3.1, 3.2, 3.2, 3.1, 3.1, 3.25, 3.2, 3.3
0, 5.5, 5.5, 5.5, 5.4, 5.5, 5.75, 5.5, 5.75
1, 5.25, 4.75, 5, 5, 5, 5.5, 5, 5
0, 3.2, 3.05, 3.1, 3.1, 3.1, 3.1, 3.1, 3.1
1, 3.2, 2.85, 3, 2.8, 3, 3, 3.1, 3.1
1, 3.3, 3, 3.2, 3.1, 3.2, 3.2, 3.25, 3.2
0, 3.2, 2.85, 3, 3, 3.1, 3, 3, 3
0, 3.2, 2.9, 3, 3, 3, 3, 3, 3
0, 7.5, 6.25, 6.5, 6, 6.5, 7.5, 7, 7.5
0, 4.75, 4.6, 4.5, 4.3, 4.33, 4.75, 4.5, 5
0, 3.25, 3.2, 3.25, 3.1, 3.2, 3.25, 3.1, 3.4
1, 3.3, 3.25, 3.25, 3.2, 3.2, 3.2, 3.2, 3.3
0, 5, 5.5, 5, 4.4, 4.5, 5.25, 4.75, 5.25
0, 3.1, 3, 3, 3, 3.1, 3, 3, 3.1
0, 3.2, 3, 3.1, 3, 3, 3, 3, 3.2
0, 3.2, 3.1, 3.2, 3, 3.2, 3.2, 3.1, 3.3
0, 3.4, 3.4, 3.3, 3.2, 3.2, 3.4, 3.25, 3.4
1, 3.3, 3.1, 3.25, 3.2, 3.2, 3.25, 3.2, 3.25
0, 3.1, 2.95, 3, 3, 3.2, 3, 3.1, 3.1
1, 3.1, 2.95, 3, 3, 3.2, 3, 3, 3.1
0, 3.2, 3.1, 3.1, 2.9, 3.2, 3, 3.1, 3.25
0, 3.25, 3, 3.1, 2.9, 3.2, 3.1, 3, 3.2
1, 3.25, 3.1, 3.1, 3, 3.2, 3.05, 3.1, 3.1
0, 3.5, 3.4, 3.4, 3.3, 3.5, 3.4, 3.4, 3.5
0, 3.1, 3.2, 3.1, 3, 3, 3, 3.1, 3.25
0, 3.6, 3.5, 3.4, 3.4, 3.3, 3.4, 3.3, 3.4
0, 4.33, 4.25, 4, 3.7, 3.75, 4.2, 4, 4.5
0, 3.4, 3.25, 3.3, 3.2, 3.3, 3.3, 3.25, 3.4
0, 3.4, 3.3, 3.3, 3.3, 3.2, 3.2, 3.2, 3.4
0, 5.5, 6, 5.5, 4.8, 5, 5.5, 5.5, 6
0, 3.25, 3.2, 3.2, 3.1, 3.2, 3.2, 3.25, 3.2
0, 3.2, 2.95, 3.1, 3, 3.1, 3, 3, 3.2
1, 3.25, 3.1, 3.1, 3.1, 3, 3.1, 3.25, 3.25
1, 3.1, 2.95, 3, 3, 3.2, 3, 3, 3
0, 5.5, 5.75, 5, 5, 5, 5.75, 4.8, 5.5
0, 3.2, 3.2, 3.1, 2.9, 3.2, 3.1, 3.1, 3
1, 3.1, 2.95, 3, 3, 3.1, 3, 2.88, 2.88
0, 3.4, 3.6, 3.25, 3, 3.3, 3.25, 3.2, 3.4
0, 4.2, 3.9, 4, 3.6, 3.6, 4.2, 3.6, 4.33
1, 3.4, 3.3, 3.3, 3.3, 3.25, 3.4, 3.25, 3.25
1, 3.1, 3.05, 3, 3, 3.1, 2.95, 3, 3
0, 3, 2.95, 3, 3, 3.1, 3, 2.9, 3
1, 3.6, 3.5, 3.5, 3.4, 3.25, 3.4, 3.4, 3.4
1, 3.2, 3.2, 3.2, 3.1, 3.2, 3.25, 3.1, 3.3
1, 7.5, 7.25, 7, 5.7, 6.5, 9, 7.5, 8
1, 3.4, 3.2, 3.25, 3.2, 3.2, 3.25, 3.4, 3.4
0, 3, 2.95, 3, 2.9, 3.1, 2.9, 3.1, 2.9
0, 4.5, 4.5, 4.5, 4.2, 4, 4.75, 4.33, 5
0, 3.1, 3, 3, 2.9, 3.2, 3, 3, 3.1
1, 3.6, 3.6, 3.6, 3.5, 3.4, 3.6, 3.5, 3.75
0, 3.25, 3.1, 3.1, 3.1, 3.2, 3.1, 3.1, 3.2
1, 3.1, 2.95, 3, 3, 3.2, 3, 3, 3.1
0, 7.5, 6, 6, 5.4, 6.5, 7, 6, 7
0, 3.1, 2.95, 3, 3, 3.2, 3, 2.9, 3
0, 3.5, 3.75, 3.4, 3.2, 3.5, 3.4, 3.6, 3.5
0, 3.5, 3.5, 3.5, 3.4, 3.3, 3.5, 3.5, 3.75
0, 3.2, 3, 3.1, 3, 3.2, 3.1, 3.1, 3.25
0, 3, 2.95, 3, 3, 3.1, 2.95, 3, 3
0, 3.2, 3.1, 3.1, 3.3, 3.2, 3.25, 3.2, 3.2
0, 3.2, 3.1, 3.1, 2.9, 3.2, 3.1, 3.1, 3.25
0, 3.25, 3.1, 3.1, 3.1, 3.1, 3.1, 3, 3.2
1, 3.2, 3.1, 3.1, 3.1, 3.2, 3.1, 3.1, 3.1
0, 3.25, 3, 3.1, 3.1, 3.1, 3.1, 3.1, 3.2
0, 3.25, 3.1, 3.25, 2.8, 3.2, 3.25, 3.2, 3.2
0, 3.1, 3.1, 3.1, 3.1, 3.2, 3.05, 3, 3
1, 3.3, 3.1, 3.3, 3.1, 3.2, 3.15, 3.1, 3.25
0, 4, 3.9, 3.6, 3.4, 3.4, 3.75, 3.6, 3.6
0, 3.1, 3, 3, 2.9, 3.2, 3.1, 3, 3
0, 3.5, 3.5, 3.4, 3.2, 3.3, 3.4, 3.6, 3.4
0, 3.1, 3.1, 3.1, 2.9, 3.2, 3.1, 3, 3.1
0, 4.33, 3.9, 4, 3.5, 3.6, 4, 4, 4.2
0, 3, 2.95, 3, 2.9, 3.2, 3, 2.88, 3
0, 3.4, 3.4, 3.3, 3.1, 3.3, 3.3, 3.25, 3.4
1, 3, 3, 3, 2.8, 3, 3, 3, 3.1
0, 3.1, 3, 3, 3, 3, 3, 3, 3.1
1, 3.1, 3, 3, 2.9, 3.1, 3, 3, 3.1
0, 4.5, 4.6, 4.25, 4.4, 4, 4.2, 4.2, 4.5
0, 3, 2.95, 3.1, 3.1, 3.2, 3.1, 3.1, 3
0, 3.6, 3.9, 3.6, 3.5, 3.6, 4, 3.6, 3.6
0, 3.2, 3.2, 3.2, 3.1, 3.2, 3.2, 3.25, 3.2
1, 3.1, 3, 3, 3, 3.1, 3, 3.1, 2.9
0, 3.1, 3, 3, 2.9, 3.1, 2.9, 2.9, 2.88
0, 4.75, 4.25, 4.25, 4, 4, 4.5, 4.33, 4.5
1, 2.9, 2.95, 3, 2.9, 3.1, 3, 2.9, 2.88
0, 3.25, 3.2, 3.2, 3.1, 3.2, 3.2, 3.2, 3.2
0, 3.1, 3, 3, 3.1, 3.1, 3, 3, 3
1, 3.4, 3.6, 3.4, 3.2, 3.4, 3.5, 3.6, 3.4
0, 3.5, 3.8, 3.6, 3.4, 3.3, 3.75, 3.75, 3.75
1, 4, 4.25, 4, 3.6, 3.75, 4.33, 4, 4.5
1, 3.3, 3.25, 3.1, 3, 3.2, 3.2, 3, 3.2
0, 3.3, 3.25, 3.25, 3.1, 3.2, 3.15, 3.1, 3.25
0, 3.25, 3.1, 3.2, , 3.2, 3.3, 2.88, 3
0, 3.75, 3.7, 3.5, 3.6, 3.6, 3.5, 3.4, 3.75
0, 3.25, 3.1, 3.2, 3.2, 3.2, 3.3, 3, 3.2
1, 6, 5.75, 5, 5.7, 6, 5.75, 4.6, 6
0, 3.3, 3.25, 3.2, 3.2, 3.4, 3.25, 3.1, 3.2
0, 4.33, 4.2, 4, 3.6, 4, 4.5, 4, 4.2
0, 3.1, 3, 3.1, , 3.2, 3.1, 3.1, 3.3
1, 5, 5.25, 5, 4.8, 5, 5.5, 5, 5.5
0, 3.6, 3.6, 3.5, 3.2, 3.4, 3.6, 3.75, 3.6
0, 3.25, 3.3, 3.25, 3.1, 3.2, 3.3, 3.25, 3.3
1, 3.25, 3.1, 3, 3, 3.2, 3.2, 3.1, 3.2
0, 3.4, 3.7, 3.4, 3.5, 3.4, 3.4, 3.4, 3.4
0, 3.25, 3.2, 3.25, 3, 3.2, 3.25, 3.2, 3.2
0, 3.1, 3, 3.1, 3, 3.2, 3.1, 3, 3.2
