SIGN, B365A, BWA, IWA, LBA, PSA, WHA, SJA, VCA
1, 4, 3.4, 3.4, 3.4, 3.4, 3.99, 3.6, 3.75
1, 26, 20, 20, 17, 15, 1.5, 17, 17
-1, 4, 3.9, 3.9, 3.8, 3.6, 4.2, 3.8, 3.8
1, 3.5, 3.3, 3.3, 3.3, 3.2, 3.42, 3.2, 3.3
1, 2.88, 3, 3, 2.9, 2.75, 2.91, 2.8, 2.88
0, 3.25, 3.1, 3.1, 3, 2.88, 3.28, 3.1, 3.13
-1, 1.95, 1.9, 1.9, 1.9, 1.91, 1.96, 2, 1.95
-1, 2, 1.9, 1.9, 1.9, 1.91, 2.04, 2, 1.95
1, 2.4, 2.5, 2.5, 2.4, 2.38, 2.52, 2.45, 2.5
1, 17, 11.5, 11.5, 11, 12, 16.85, 11, 13
0, 2.4, 2.3, 2.3, 2.3, 2.3, 2.44, 2.3, 2.4
0, 3.75, 3.6, 3.6, 3.4, 3.2, 3.58, 3.3, 3.5
0, 3.1, 3.3, 3.3, 3.3, 2.88, 3.18, 3, 3.13
1, 3.5, 3.3, 3.3, 3.25, 3.2, 3.62, 3.4, 3.4
1, 7.5, 6.25, 6.25, 7, 6, 8.45, 6.5, 7
1, 4, 4.5, 4.5, 3.5, 3.6, 4.24, 3.6, 3.8
0, 2.8, 2.85, 2.85, 2.7, 2.75, 2.97, 2.8, 2.75
1, 14, 13.5, 13.5, 14, 11, 16.28, 11, 12
-1, 4.2, 4.5, 4.5, 4, 4, 5.01, 4.2, 4.33
-1, 4.75, 5.25, 5.25, 4.5, 4.5, 5.13, 4.8, 5.25
-1, 1.36, 1.36, 1.36, 1.35, 1.33, 1.39, 1.36, 1.4
0, 3.75, 3.75, 3.75, 3.5, 3.6, 4.19, 3.6, 3.75
1, 9, 10, 10, 8.5, 8, 10.44, 8, 8.5
0, 2.8, 2.85, 2.85, 2.9, 2.75, 3.06, 2.88, 3.4
1, 2.05, 2, 2, 1.9, 2, 2, 2, 2
0, 3.1, 3, 3, 3.1, 2.88, 3.19, 2.88, 3
-1, 2.9, 2.9, 2.9, 2.8, 2.75, 2.98, 2.8, 2.88
-1, 2, 1.95, 1.95, 2.1, 2.1, 1.99, 2, 2
1, 3.75, 3.9, 3.9, 3.9, 3.6, 4.06, 3.6, 3.8
1, 3.1, 3.1, 3.1, 3.2, 2.88, 3.16, 3.1, 3
-1, 2.8, 2.8, 2.8, 2.9, 2.75, 3, 2.88, 2.8
1, 7.5, 8.25, 8.25, 7.5, 7, 8.46, 7.5, 8
1, 13, 15, 15, 13, 11, 16.6, 13, 13
-1, 3.8, 4.1, 4.1, 3.9, 3.4, 4.02, 3.6, 3.8
1, 4, 4.2, 4.2, 4, 3.6, 4.19, 3.75, 4
-1, 4.2, 3.7, 3.7, 3.5, 3.5, 4.18, 3.6, 3.8
1, 9, 9, 9, 8, 8, 9.35, 9, 8
1, 2.88, 2.85, 2.85, 2.8, 1.5, 2.78, 2.7, 2.8
-1, 1.25, 1.25, 1.25, 1.3, 1.5, 1.22, 1.29, 1.25
-1, 1.22, 1.26, 1.26, 1.25, 1.5, 1.25, 1.25, 1.25
1, 3.75, 3.9, 3.9, 3.4, 3.6, 4.26, 3.6, 3.8
-1, 2, 1.95, 1.95, 2, 2, 2.1, 2, 2.1
0, 4.33, 4.1, 4.1, 3.8, 3.8, 4.17, 3.8, 4
0, 3, 3.1, 3.1, 2.9, 2.9, 3, 2.8, 2.88
-1, 2.05, 2, 2, 1.9, 2, 2.11, 2, 2
-1, 2.25, 2.3, 2.3, 2.3, 2.2, 2.3, 2.25, 2.25
0, 7.5, 6.5, 6.5, 7, 7, 8.53, 7, 7.5
1, 13, 15, 15, 16, 15, 22, 15, 15
-1, 1.36, 1.34, 1.34, 1.35, 1.28, 1.35, 1.33, 1.36
1, 2.25, 2.1, 2.1, 2.2, 2.2, 2.27, 2.25, 2.3
0, 1.65, 1.67, 1.67, 1.65, 1.61, 1.67, 1.73, 1.67
1, 21, 21, 21, 17, 13, 1.5, 21, 17
1, 2.75, 2.8, 2.8, 2.8, 2.5, 2.81, 2.88, 2.75
-1, 6, 5.5, 5.5, 5.2, 1.5, 5.9, 4.8, 5.5
0, 2.75, 2.8, 2.8, 2.8, 2.5, 2.77, 2.7, 2.8
1, 3.75, 4.1, 4.1, 3.4, 3.3, 3.94, 3.6, 3.8
1, 3.75, 3.6, 3.6, 3.4, 3.4, 3.82, 3.4, 3.6
-1, 2.88, 2.85, 2.85, 2.9, 2.75, 2.88, 2.8, 2.88
1, 2.8, 2.9, 2.9, 2.7, 2.75, 3.06, 2.7, 2.8
0, 1.44, 1.42, 1.42, 1.45, 1.4, 1.46, 1.44, 1.44
0, 13, 16.5, 16.5, 17, 17, 1.5, 17, 17
1, 3, 3.1, 3.1, 2.9, 2.87, 3, 3, 3
-1, 5.5, 5.5, 5.5, 5.2, 5.5, 6.25, 5.5, 6
-1, 6, 5, 5, 5.2, 5, 6.11, 4.8, 5.5
-1, 1.29, 1.22, 1.22, 1.25, 1.25, 1.29, 1.29, 1.27
-1, 2.1, 2.1, 2.1, 2.2, 2.1, 2.09, 2.1, 2.1
1, 13, 12.5, 12.5, 12, 11, 15.7, 11, 12
1, 3.75, 4, 4, 4, 1.5, 3.87, 3.75, 3.8
1, 3.25, 3.4, 3.4, 3.3, 3.2, 3.38, 3.3, 3.25
-1, 3.8, 4, 4, 3.7, 3.75, 3.92, 3.75, 3.8
0, 3.5, 3.5, 3.5, 3.5, 3.25, 3.65, 3.4, 3.5
0, 2.1, 2.05, 2.05, 2.1, 2.05, 2.12, 2.05, 2.05
1, 2.38, 2.2, 2.2, 2.2, 2.25, 2.37, 2.38, 2.3
1, 12, 12.5, 12.5, 13, 10, 1.5, 13, 12
1, 3, 3, 3, 2.9, 2.87, 3.15, 3.1, 3.13
1, 8.5, 6.5, 6.5, 6.3, 6.5, 8.12, 5.5, 8
1, 13, 12.5, 12.5, 11, 10, 12, 11, 11
0, 3.2, 3, 3, 2.9, 2.87, 3.27, 2.88, 3
1, 4.5, 4.6, 4.6, 4.3, 4.33, 4.89, 4.5, 4.8
-1, 3, 2.85, 2.85, 2.8, 2.8, 3.1, 2.88, 2.88
1, 6, 6, 6, 4.9, 5, 6.23, 5, 5.75
0, 1.67, 1.65, 1.65, 1.7, 1.72, 1.68, 1.67, 1.67
-1, 1.25, 1.26, 1.26, 1.22, 1.25, 1.3, 1.25, 1.29
-1, 2.25, 2.4, 2.4, 2.4, 2.37, 2.41, 2.38, 2.38
0, 4.2, 4.75, 4.75, 4.1, 3.75, 4.7, 4.33, 4.33
-1, 3.75, 3.4, 3.4, 3.4, 3.2, 3.66, 3.6, 3.5
1, 3, 3.1, 3.1, 2.9, 2.75, 3.15, 2.88, 3
-1, 1.62, 1.67, 1.67, 1.7, 1.72, 1.65, 1.67, 1.62
1, 13, 11.5, 11.5, 12, 11, 15.87, 11, 11
0, 2.25, 2.35, 2.35, 2.3, 2.25, 2.32, 2.3, 2.3
1, 5.75, 5.5, 5.5, 5.8, 6, 6.31, 5.5, 6.25
1, 23, 16.5, 16.5, 14, 15, 18.17, 13, 15
0, 3.4, 3.3, 3.3, 3.3, 3.25, 3.55, 3.3, 3.2
0, 3.6, 3.3, 3.3, 3.4, 3.25, 3.5, 3.25, 3.5
0, 5.75, 6, 6, 6.3, 6, 6.77, 6, 6.25
-1, 2.75, 2.9, 2.9, 2.9, 2.87, 2.95, 3, 2.88
-1, 1.62, 1.6, 1.6, 1.6, 1.57, 1.63, 1.62, 1.62
-1, 2.2, 2.25, 2.25, 2.2, 2.1, 2.29, 2.25, 2.25
1, 8, 7.25, 7.25, 6, 7, 7.25, 7, 7.5
0, 2.38, 2.25, 2.25, 2.2, 2.2, 2.51, 2.45, 2.38
1, 4.5, 4.4, 4.4, 4, 3.75, 4.55, 4, 4.33
-1, 1.36, 1.34, 1.34, 1.33, 1.28, 1.35, 1.36, 1.36
0, 1.4, 1.4, 1.4, 1.4, 1.33, 1.4, 1.4, 1.4
-1, 5, 5, 5, 4.3, 4.33, 5.04, 4.4, 4.8
1, 5, 5, 5, 4.9, 5, 5.26, 4.6, 5
-1, 1.33, 1.34, 1.34, 1.3, 1.33, 1.36, 1.33, 1.36
-1, 3.2, 3.2, 3.2, 3.1, 3.1, 3.42, 3, 3.13
1, 13, 15, 15, 13, 13, 17.3, 13, 13
0, 2.6, 2.6, 2.6, 2.6, 2.5, 2.62, 2.5, 2.63
-1, 2.5, 2.5, 2.5, 2.4, 2.5, 2.63, 2.45, 2.5
1, 4, 3.8, 3.8, 3.8, 3.75, 4.19, 3.75, 4
-1, 4.2, 4.5, 4.5, 3.8, 4.33, 4.51, 4, 4.5
0, 3.2, 2.9, 2.9, 2.9, 2.87, 3.07, 2.9, 3
1, 6.5, 6, 6, 6.3, 6, 6.72, 5.5, 6.25
1, 3.3, 3.2, 3.2, 3.1, 3.2, 3.42, 3.1, 3.25
1, 3.1, 3, 3, 2.9, 2.87, 3.05, 3, 3
1, 3.75, 3.5, 3.5, 3.4, 3.5, 3.69, 3.4, 3.4
-1, 1.25, 1.22, 1.22, 1.25, 1.25, 1.29, 1.29, 1.29
1, 4.75, 4.33, 4.33, 4, 4.33, 5.02, 4.2, 4.8
1, 7, 8.5, 8.5, 7.5, 6.5, 7.75, 7.5, 7
1, 8, 7.75, 7.75, 7.5, 7, 8.84, 7, 8
-1, 1.22, 1.22, 1.22, 1.25, 1.25, 1.28, 1.29, 1.22
1, 3.5, 3.7, 3.7, 3.2, 3.4, 3.71, 3.4, 3.8
1, 3.3, 3.1, 3.1, 3.1, 3.1, 3.36, 3, 3.13
1, 8.5, 8.75, 8.75, 7.5, 7, 9.45, 7, 8.5
1, 3.3, 3.1, 3.1, 2.8, 3.1, 3.19, 3, 3.13
