SIGN, B365D, BWD, IWD, LBD, PSD, WHD, SJD, VCD
0, 3.1, 3.2, 3, 2.9, 3.13, 2.9, 3, 3.12
0, 5, 5, 4.2, 4.6, 5.37, 5, 4.8, 5.4
0, 4.5, 4.6, 4.2, 4.33, 4.73, 4.4, 4.5, 4.75
0, 3.2, 3.1, 3.1, 3, 3.12, 3, 3.13, 3.2
1, 3.2, 3.25, 3.2, 3, 3.3, 3.1, 3.2, 3.3
1, 3.5, 3.5, 3.2, 3.25, 3.64, 3.5, 3.5, 3.6
0, 4, 3.9, 3.8, 3.6, 3.97, 3.6, 3.8, 4
0, 4.5, 4.4, 4.2, 4.1, 4.63, 4.6, 4.5, 4.6
0, 3.4, 3.25, 3.2, 3.1, 3.26, 3.2, 3.3, 3.4
1, 6.5, 7, 5.2, 6, 7.93, 6, 7, 7.5
1, 3.4, 3.3, 3.2, 3, 3.24, 3.2, 3.3, 3.4
0, 3.25, 3.2, 3.1, 2.9, 3.18, 3.2, 3.25, 3.25
0, 3.75, 3.9, 3.6, 3.5, 4.06, 3.75, 3.75, 3.9
0, 3.8, 3.75, 3.6, 3.5, 3.82, 3.75, 3.6, 3.8
1, 3.4, 3.3, 3, 3.1, 3.24, 3.2, 3.25, 3.4
0, 3.3, 3.2, 3.1, 3, 3.14, 3, 3.2, 3.3
0, 3.2, 3.1, 3.1, 2.87, 3.07, 3, 3.13, 3.1
1, 3, 3.1, 3.1, 2.9, 3.2, 3.1, 3.13, 3.13
0, 4.75, 4.4, 4.4, 4.5, 4.9, 4.8, 4.8, 4.8
0, 4.75, 4.75, 4.4, 4.33, 4.9, 4.5, 4.5, 4.8
0, 3.25, 3.2, 3.1, 2.9, 3.18, 3, 3.13, 3.2
0, 5.25, 5, 5, 5.5, 6.2, 5, 5.5, 6
0, 4, 3.8, 3.8, 3.6, 4.04, 3.6, 3.8, 4
0, 3.8, 3.7, 3.6, 3.5, 4, 3.5, 3.75, 4
0, 3.25, 3.4, 3.2, 3.1, 3.43, 3.25, 3.25, 3.4
1, 3.3, 3.2, 3.2, 3.1, 3.44, 3.3, 3.25, 3.3
0, 9, 9, 7, 9.5, 12.83, 8, 9, 11.5
0, 5, 4.75, 4.2, 4.75, 5.19, 4.6, 4.5, 5
0, 3.3, 3.3, 3.2, 3, 3.38, 3.2, 3.3, 3.3
1, 3.1, 3.2, 3.1, 3, 3.31, 3.1, 3.13, 3.3
1, 4.5, 4.6, 4, 4.33, 4.73, 4.33, 4.33, 4.6
1, 3.2, 3.1, 3.1, 3, 3.31, 3.1, 3.2, 3.3
0, 3.2, 3.2, 3.1, 3, 3.29, 3.1, 3.2, 3.25
0, 3.5, 3.6, 3.5, 3.2, 3.62, 3.4, 3.4, 3.5
1, 3.4, 3.3, 3.1, 3.1, 3.49, 3.2, 3.2, 3.4
1, 3.2, 3.1, 3.1, 3, 3.4, 3.2, 3.2, 3.25
0, 3.1, 3.2, 3.1, 2.9, 3.15, 3, 3.13, 3.1
0, 3, 3.1, 3.1, 2.87, 3.13, 2.9, 3, 3
0, 3.25, 3.3, 3.1, 3, 3.42, 3.1, 3.2, 3.25
0, 3.5, 3.5, 3.3, 3.3, 3.67, 3.3, 3.4, 3.5
0, 3.1, 3.1, 3.1, 2.9, 3.13, 3, 3.13, 3.1
0, 3.25, 3.2, 3.1, 3, 3.29, 3.2, 3.2, 3.25
0, 3.9, 3.9, 3.8, 3.6, 4.05, 3.6, 3.75, 3.9
0, 3.25, 3.25, 3.2, 3, 3.22, 3.1, 3.2, 3.3
0, 6.5, 6, 5.7, 5.5, 6.47, 6, 5.75, 6.5
0, 8.5, 7.75, 6.5, 8, 9.5, 7.5, 8, 9
0, 3.2, 3.25, 3.2, 3, 3.24, 3.1, 3.2, 3.25
1, 4, 4.4, 4, 3.9, 4.47, 4, 4, 4
1, 3.2, 3.2, 3.1, 2.9, 3.3, 3.2, 3.13, 3.2
1, 4, 3.8, 3.8, 3.8, 4.23, 4, 3.8, 4
1, 5, 5, 4.6, 4.8, 5.45, 4.75, 5, 5.4
0, 4.33, 4.2, 4.2, 4, 4.8, 4, 4.33, 4.6
0, 3.1, 3.1, 3.1, 2.87, 3.21, 3, 3, 3.1
0, 3.3, 3.4, 3.3, 3.1, 3.67, 3.3, 3.3, 3.4
1, 4.75, 4.6, 4.4, 4.5, 4.93, 4.8, 5, 4.8
0, 3.3, 3.3, 3.2, 3, 3.29, 3.2, 3.25, 3.2
0, 3.6, 3.6, 3.6, 3.3, 3.85, 3.5, 3.6, 3.6
0, 3.4, 3.3, 3.2, 3.2, 3.45, 3.2, 3.3, 3.4
0, 3.1, 3.2, 3.1, 2.9, 3.13, 3.1, 3.2, 3.2
1, 3.4, 3.25, 3.2, 3.1, 3.36, 3.2, 3.3, 3.4
0, 7, 6.5, 5.2, 6, 1, 6, 6.5, 7
1, 3.3, 3.25, 3.2, 3.1, 3.3, 3.2, 3.3, 3.3
0, 5, 4.25, 4.2, 4.75, 5.4, 4.75, 5, 5.25
0, 3.2, 3.25, 3.1, 3, 3.31, 3.1, 3.3, 3.25
0, 3.6, 3.5, 3.5, 1, 3.85, 3.5, 3.6, 3.6
1, 3, 2.9, 3.1, 2.87, 2.96, 2.88, 3.13, 3.1
0, 7, 7.25, 5.2, 6.5, 1, 6, 7, 7.5
1, 3.2, 3.2, 3.1, 2.9, 3.28, 3, 3.13, 3.2
0, 6, 5.5, 4.6, 5.2, 5.9, 5, 5.25, 6
0, 3, 3.1, 3.1, 2.9, 3.11, 3.1, 3.13, 3.2
0, 3.6, 3.3, 3.2, 3.25, 3.55, 3.3, 3.4, 3.6
0, 4.5, 4.33, 4.2, 4.25, 4.8, 4.2, 4.33, 4.5
0, 3.25, 3.25, 3, 2.87, 3.26, 3.1, 1, 3.25
1, 3.1, 3.1, 3, 2.85, 3.07, 3, 3.13, 3.1
0, 3.5, 3.5, 3.5, 3.3, 3.66, 3.4, 3.5, 3.5
