SIGN, B365A, BWA, IWA, LBA, PSA, WHA, SJA, VCA
1, 15, 10, 8, 11, 13.15, 11, 9.5, 15
1, 1.33, 1.34, 1.35, 1.35, 1.4, 1.33, 1.36, 1.36
-1, 2.5, 2.6, 2.5, 2.4, 2.61, 2.6, 2.5, 2.62
0, 4.2, 3.7, 3.3, 3.8, 4.1, 3.6, 3.75, 4.2
0, 4.75, 4.2, 4, 4.6, 4.68, 4.4, 4.5, 4.8
-1, 1.53, 1.55, 1.5, 1.53, 1.57, 1.55, 1.53, 1.57
1, 8, 7.25, 7.5, 6.5, 8.04, 7.5, 6.5, 7.5
-1, 4, 4.1, 3.6, 3.9, 4.42, 4.2, 3.8, 4.3
0, 19, 12, 11, 17, 21.48, 15, 13, 20
0, 3.75, 4, 3.6, 4, 4.62, 3.8, 3.75, 4.1
-1, 2.38, 2.35, 2.3, 2.4, 2.59, 2.38, 2.38, 2.5
1, 6, 5, 4.8, 5.25, 6.12, 5, 5.25, 5.75
-1, 1.62, 1.6, 1.6, 1.57, 1.64, 1.6, 1.62, 1.62
0, 2.63, 2.75, 2.7, 2.7, 2.82, 2.8, 2.63, 2.75
-1, 2.05, 2.15, 2.1, 2.05, 2.19, 2.15, 2.05, 2.1
1, 2.7, 2.55, 2.6, 2.7, 2.88, 2.6, 2.6, 2.6
0, 2.88, 2.9, 2.8, 2.87, 2.85, 2.9, 2.75, 2.8
1, 10, 10, 8.5, 9.5, 9.95, 9.5, 9, 11
1, 8, 9.75, 8.5, 9, 9.66, 7.5, 8, 9.5
-1, 2.25, 2.3, 2.2, 2.3, 2.37, 2.3, 2.3, 2.38
-1, 1.25, 1.25, 1.25, 1.22, 1.25, 1.25, 1.22, 1.25
-1, 1.5, 1.55, 1.5, 1.5, 1.55, 1.55, 1.5, 1.53
1, 6, 5.75, 4.8, 6, 7, 5.5, 6.25, 7
1, 3.6, 3.6, 3.6, 3.25, 3.58, 3.4, 3.3, 3.5
0, 2.05, 2.05, 2, 2, 2.15, 2, 2.1, 2.05
1, 29, 23, 15, 26, 37.61, 17, 26, 29
-1, 1.33, 1.35, 1.33, 1.3, 1.38, 1.33, 1.36, 1.36
1, 4.5, 4, 3.8, 4.5, 4.5, 4.2, 4, 4.75
0, 3.5, 3.2, 3, 3.3, 3.62, 3.3, 3.3, 3.4
0, 7.5, 6.75, 6.5, 7.5, 8.42, 7, 7, 8
0, 2.4, 2.35, 2.3, 2.3, 2.38, 2.25, 2.3, 2.4
-1, 3.2, 3, 3, 3.1, 3.25, 3, 3, 3.2
1, 5.5, 5.5, 4.5, 5.2, 5.55, 4.6, 5, 5.5
0, 2.2, 2.15, 2.2, 2.15, 2.21, 2.25, 2.2, 2.2
0, 3.2, 3.1, 2.8, 3.25, 3.41, 3, 3.13, 3.4
1, 2.9, 2.85, 2.8, 2.9, 2.95, 3.1, 2.8, 3
1, 2.9, 2.95, 2.7, 2.85, 3, 3, 2.8, 3
1, 3, 3, 2.8, 2.9, 3.21, 2.88, 3, 3.12
1, 5, 4.75, 4.2, 4.6, 4.89, 4.33, 4.8, 5
1, 2.5, 2.3, 2.5, 2.4, 2.63, 2.5, 2.4, 2.6
-1, 1.91, 1.95, 2.1, 1.85, 2.02, 1.95, 1.95, 2
-1, 1.53, 1.48, 1.5, 1.53, 1.54, 1.55, 1.53, 1.55
1, 3.75, 3.5, 3.6, 3.75, 4.19, 3.75, 3.6, 3.9
1, 11, 11, 12, 12, 14.67, 11, 10, 12
1, 21, 20, 14, 26, 29, 17, 21, 23
1, 3.75, 3.9, 3.3, 3.6, 3.97, 3.75, 3.6, 3.9
0, 7, 7, 6.5, 7, 7.7, 6.5, 7, 7.5
0, 2.4, 2.5, 2.6, 2.4, 2.52, 2.38, 2.4, 2.5
0, 7, 6, 5.5, 7, 7.81, 6.5, 6.25, 7.5
0, 1.29, 1.28, 1.27, 1.28, 1.29, 1.3, 1.27, 1.29
1, 1.36, 1.4, 1.37, 1.4, 1.4, 1.44, 1.36, 1.4
1, 2.5, 2.5, 2.4, 2.45, 2.49, 2.5, 2.4, 2.55
1, 1.8, 1.8, 1.75, 1.8, 1.76, 1.75, 1.8, 1.85
0, 9.5, 9, 8.5, 9, 9.82, 10, 8, 11
-1, 3.8, 3.6, 3.3, 3.5, 3.74, 3.6, 3.5, 3.75
1, 6, 5.5, 4.8, 5.75, 6.51, 5, 5.25, 5.5
1, 4, 4.1, 4, 3.9, 4.24, 4, 3.8, 4.1
1, 2.2, 2.25, 2.2, 2.2, 2.35, 2.15, 2.2, 2.3
0, 2, 2, 2, 2, 2.11, 2, 2, 2.1
1, 17, 13.5, 11, 15, 1, 13, 13, 17
0, 4.2, 4.1, 3.8, 4.1, 4.8, 4.2, 4, 4.33
1, 10, 11, 7.5, 10, 11.63, 10, 9.5, 11
-1, 1.91, 2, 2.1, 1.9, 1.99, 1.95, 1.91, 2
1, 4.75, 4.6, 4.5, 1, 5.05, 5, 4.8, 5
0, 3.4, 3.2, 2.8, 3.1, 3.48, 3, 3.13, 3.3
1, 15, 14, 11, 21, 1, 13, 17, 18
0, 2.3, 2.45, 2.3, 2.4, 2.5, 2.45, 2.38, 2.45
-1, 1.25, 1.26, 1.27, 1.25, 1.27, 1.25, 1.25, 1.25
1, 3.4, 3.2, 3.2, 3.3, 3.55, 3.3, 3.13, 3.4
1, 4.2, 4, 4, 3.9, 4.15, 4, 4, 4.2
-1, 1.36, 1.42, 1.35, 1.36, 1.41, 1.4, 1.36, 1.4
1, 2.75, 2.65, 2.6, 2.75, 2.85, 2.45, 1, 2.8
0, 2.63, 2.65, 2.7, 2.65, 2.86, 2.7, 2.75, 2.8
-1, 1.67, 1.72, 1.65, 1.7, 1.75, 1.75, 1.73, 1.8
0, 9.5, 7.5, 6.5, 8, 8.71, 7.5, 8, 9
1, 4, 3.8, 3.6, 3.9, 4.2, 3.6, 3.75, 4
1, 2.5, 2.5, 2.4, 2.5, 2.52, 2.5, 2.5, 2.55
-1, 7.5, 7, 7.5, 7, 8.28, 6.5, 7, 8.5
