SIGN, B365H, BWH, IWH, LBH, PSH, WHH, SJH, VCH
1, 2.38, 2.3, 2.1, 2.25, 2.41, 2.38, 2.38, 2.4
0, 2.9, 2.6, 2.6, 2.9, 3.14, 2.9, 2.8, 3
1, 1.25, 1.28, 1.33, 1.28, 1.3, 1.25, 1.3, 1.29
1, 11, 8.5, 7.5, 9, 9.54, 9, 8, 10
0, 2.88, 2.7, 2.6, 2.85, 3.07, 2.7, 2.8, 2.9
0, 1.95, 2, 2, 2, 2.08, 2.05, 2, 2
0, 1.75, 1.8, 1.8, 1.75, 1.85, 1.73, 1.73, 1.8
0, 6, 5.5, 5.5, 6, 7.05, 6, 5.75, 6.5
1, 1.4, 1.4, 1.35, 1.44, 1.45, 1.35, 1.4, 1.44
0, 1.91, 1.9, 1.9, 1.9, 2.01, 1.85, 1.91, 1.95
0, 1.17, 1.16, 1.2, 1.16, 1.17, 1.17, 1.17, 1.17
0, 2, 1.9, 1.9, 1.95, 1.98, 1.95, 2, 2
0, 3, 2.95, 2.8, 2.9, 3.08, 2.8, 2.88, 3
1, 1.57, 1.6, 1.6, 1.61, 1.61, 1.6, 1.62, 1.65
0, 5.5, 5.25, 4.8, 5.5, 6.3, 5, 5.75, 6.25
0, 2.55, 2.4, 2.5, 2.45, 2.73, 2.38, 2.5, 2.62
0, 3.6, 3.3, 3.2, 3.6, 3.93, 3.4, 3.5, 3.8
1, 2.6, 2.75, 2.6, 2.65, 2.83, 2.7, 2.63, 2.7
0, 2.6, 2.4, 2.3, 2.5, 2.77, 2.38, 2.5, 2.75
1, 1.33, 1.33, 1.3, 1.3, 1.38, 1.29, 1.33, 1.36
1, 1.36, 1.3, 1.3, 1.35, 1.38, 1.36, 1.36, 1.36
0, 3.2, 3, 3, 3.1, 3.4, 3.1, 3.13, 3.3
0, 13, 12.5, 9, 13, 14.4, 11, 12, 15
0, 7, 5.75, 5.5, 6.5, 7.32, 6, 6.5, 7.5
1, 1.57, 1.57, 1.6, 1.55, 1.57, 1.6, 1.53, 1.55
1, 2.1, 1.95, 1.9, 2.1, 2.18, 2.05, 2.1, 2.15
0, 3.6, 3.2, 3.3, 3.6, 3.64, 3.5, 3.4, 3.5
1, 1.08, 1.08, 1.1, 1.08, 1.09, 1.1, 1.07, 1.09
0, 9, 7.75, 8, 9, 9.24, 8, 8, 9.5
1, 1.85, 1.9, 1.85, 1.83, 1.95, 1.85, 1.9, 1.91
0, 2.2, 2.2, 2.2, 2.15, 2.22, 2.15, 2.2, 2.25
0, 1.4, 1.4, 1.4, 1.36, 1.43, 1.4, 1.4, 1.4
0, 3, 3, 2.8, 3, 3.26, 3.1, 3, 3.12
0, 2.3, 2.3, 2.2, 2.25, 2.4, 2.3, 2.3, 2.4
1, 1.67, 1.62, 1.65, 1.7, 1.76, 1.73, 1.73, 1.75
0, 3.2, 3.25, 3, 3.2, 3.45, 3, 3.2, 3.3
0, 2.3, 2.3, 2.3, 2.2, 2.25, 2.25, 2.25, 2.3
1, 2.5, 2.4, 2.3, 2.45, 2.68, 2.3, 2.5, 2.62
1, 2.6, 2.4, 2.4, 2.5, 2.65, 2.45, 2.5, 2.7
1, 2.38, 2.25, 2.4, 2.3, 2.35, 2.38, 2.3, 2.4
1, 1.73, 1.72, 1.75, 1.72, 1.81, 1.8, 1.73, 1.8
1, 2.9, 3.1, 2.6, 2.9, 3.04, 2.8, 3, 3
0, 4.2, 4, 3.2, 4.33, 4.42, 3.8, 4, 4.3
0, 6.5, 6.75, 5.5, 6.5, 7.52, 6, 6, 7
1, 2.05, 2.05, 1.9, 2, 2.08, 2, 2.05, 2.1
1, 1.22, 1.22, 1.17, 1.22, 1.24, 1.2, 1.25, 1.25
1, 1.11, 1.11, 1.12, 1.11, 1.12, 1.11, 1.1, 1.12
1, 2.05, 1.95, 2, 2.05, 2.13, 2, 2.05, 2.1
0, 1.5, 1.4, 1.4, 1.45, 1.48, 1.44, 1.44, 1.5
0, 3, 2.75, 2.6, 2.9, 3.03, 2.8, 2.88, 3.1
0, 1.5, 1.53, 1.5, 1.45, 1.51, 1.44, 1.5, 1.53
0, 12, 9.75, 9, 11, 14.15, 9, 11, 11
1, 10, 7.75, 7.5, 8, 9.52, 7, 8.5, 8.5
1, 2.9, 2.8, 2.7, 2.9, 3.16, 2.8, 2.88, 3.1
1, 4.8, 4.25, 4.2, 4.6, 5.29, 4.6, 4.5, 4.8
0, 1.33, 1.33, 1.3, 1.33, 1.38, 1.29, 1.33, 1.36
0, 2, 2, 2, 2.1, 2.18, 2, 2.05, 2.15
1, 1.6, 1.62, 1.6, 1.61, 1.62, 1.65, 1.62, 1.62
1, 1.91, 1.87, 1.8, 1.9, 1.98, 1.91, 1.95, 1.95
1, 3.5, 3.1, 3, 3.25, 3.5, 3.3, 3.2, 3.3
0, 3.75, 3.7, 3.3, 3.6, 3.91, 3.6, 3.6, 2.88
1, 1.17, 1.17, 1.2, 1.18, 1, 1.18, 1.18, 1.18
0, 1.91, 1.9, 1.85, 1.9, 1.93, 1.85, 1.9, 1.92
1, 1.3, 1.33, 1.35, 1.3, 1.32, 1.29, 1.3, 1.3
0, 4.33, 3.7, 3.2, 4.2, 4.43, 4, 3.8, 4.1
1, 1.73, 1.72, 1.7, 1, 1.75, 1.65, 1.73, 1.75
0, 2.3, 2.35, 2.3, 2.35, 2.47, 2.45, 2.3, 2.4
1, 1.17, 1.15, 1.2, 1.15, 1, 1.18, 1.14, 1.18
0, 3.1, 2.8, 2.8, 2.9, 3.08, 2.88, 3, 3.1
0, 10, 9.5, 9, 12, 14, 11, 12, 12
1, 2.3, 2.25, 2.1, 2.2, 2.34, 2.15, 2.25, 2.3
1, 1.83, 1.9, 1.8, 1.85, 1.97, 1.85, 1.9, 1.91
0, 9.5, 7, 7.5, 8.5, 8.93, 7.5, 7.5, 9.5
1, 2.55, 2.55, 2.6, 2.6, 2.68, 2.8, 1, 2.7
0, 2.75, 2.65, 2.5, 2.7, 2.86, 2.6, 2.5, 2.8
0, 4.33, 4.75, 4.5, 4.75, 5.46, 4.5, 4.5, 5
0, 1.4, 1.42, 1.4, 1.4, 1.44, 1.4, 1.4, 1.45
1, 2, 1.95, 1.9, 1.95, 2.01, 2, 1.95, 2.05
1, 2.9, 2.75, 2.7, 2.87, 3.15, 2.8, 2.88, 3.1
0, 1.44, 1.44, 1.35, 1.4, 1.46, 1.44, 1.44, 1.45
1, 2.6, 2.6, 2.5, 2.6, 2.84, 2.7, 2.6, 2.8
1, 1.22, 1.22, 1.2, 1.22, 1.27, 1.2, 1.22, 1.25
1, 1.3, 1.28, 1.35, 1.25, 1.34, 1.25, 1.29, 1.3
1, 2, 2, 1.9, 1.95, 1.94, 2, 1.95, 1.95
0, 10, 8.75, 8, 9, 11.01, 8.5, 8.5, 11
1, 2.4, 2.4, 2.2, 2.45, 2.57, 2.25, 2.4, 2.55
0, 7, 5.75, 6, 6.5, 7.8, 7, 6, 6.5
0, 2.1, 2, 1.9, 2.05, 2.14, 2, 2.1, 2.2
1, 2.5, 2.45, 2.4, 2.45, 2.6, 2.45, 2.5, 2.6
0, 2.5, 2.4, 2.3, 2.35, 2.48, 2.38, 2.38, 2.5
0, 1.95, 2, 2, 1.9, 2.03, 2, 2, 2
1, 1.62, 1.62, 1.7, 1.61, 1.65, 1.6, 1.62, 1.7
1, 1.4, 1.42, 1.4, 1.45, 1.44, 1.44, 1.44, 1.45
0, 2.7, 2.6, 2.6, 2.62, 2.86, 2.7, 2.63, 2.8
0, 1.75, 1.75, 1.8, 1.72, 1.77, 1.73, 1.73, 1.8
1, 1.18, 1.2, 1.2, 1.16, 1.19, 1.17, 1.18, 1.2
0, 6, 5.25, 4.5, 5.5, 6.14, 5, 5.75, 6
1, 2.38, 2.35, 2.3, 1, 2.52, 2.45, 2.4, 2.5
0, 3.8, 3.7, 3.3, 3.8, 3.82, 3.3, 3.4, 3.7
1, 1.73, 1.65, 1.7, 1.66, 1.74, 1.73, 1.73, 1.75
0, 3.4, 3.2, 2.8, 3.1, 3.55, 3.2, 3.3, 3.4
0, 1.95, 1.95, 1.85, 1.9, 1.99, 1.95, 1.95, 2
1, 1.95, 1.95, 2, 1.95, 2, 1.95, 1.95, 2
0, 2.5, 2.4, 2.3, 2.45, 2.6, 2.45, 2.4, 2.55
1, 3.1, 3.1, 3, 3.2, 3.2, 3, 3, 3.3
0, 5.75, 6, 5.5, 6, 6.65, 5, 5.8, 6.25
0, 3, 2.85, 2.7, 2.9, 3.24, 3, 3, 3.12
0, 1.8, 1.75, 1.75, 1.75, 1.81, 1.8, 1.8, 1.8
0, 4.33, 4, 4.2, 4.33, 4.69, 4.33, 4.5, 4.6
1, 1.2, 1.18, 1.15, 1.2, 1.21, 1.17, 1.2, 1.22
0, 5, 4.5, 3.6, 4.8, 5.08, 4.5, 4.8, 5.25
1, 2.1, 2, 2, 2.1, 2.18, 2, 2.05, 2.2
1, 1.17, 1.18, 1.15, 1.15, 1.16, 1.18, 1.17, 1.18
0, 4, 4.33, 3.6, 4.1, 4.49, 4.2, 4, 4.3
0, 2.63, 2.55, 2.4, 2.45, 2.69, 2.45, 2.6, 2.6
1, 1.44, 1.4, 1.37, 1.4, 1.44, 1.4, 1.44, 1.45
1, 1.57, 1.6, 1.6, 1.57, 1.61, 1.67, 1.57, 1.65
1, 2.15, 2.2, 2.2, 2.25, 2.33, 2.15, 2.2, 2.38
0, 1.73, 1.72, 1.7, 1.7, 1.78, 1.73, 1.73, 1.75
0, 2.9, 2.8, 2.6, 2.9, 3.05, 2.7, 2.88, 3
1, 5.5, 5, 5, 5.5, 6.01, 6, 5.5, 6.25
0, 4.2, 4.1, 3.8, 4.33, 4.6, 3.8, 4.33, 4.33
0, 2.8, 2.7, 2.7, 2.65, 3, 2.8, 2.8, 2.9
0, 5.25, 4.75, 4, 5, 5.42, 5, 5.25, 5.5
0, 5.5, 4.6, 4.5, 4.8, 5.1, 4.33, 4.8, 5
0, 2.38, 2.3, 2.2, 2.4, 2.42, 2.3, 2.38, 2.45
1, 1.91, 1.95, 1.9, 1.9, 1.99, 1.95, 1.95, 1.95
1, 1.25, 1.28, 1.25, 1.25, 1.29, 1.25, 1.27, 1.29
1, 3, 2.9, 2.7, 3, 3.09, 2.9, 2.88, 3.12
1, 1.25, 1.25, 1.25, 1.25, 1.26, 1.25, 1.27, 1.25
0, 2.1, 2.15, 2, 2.15, 2.27, 2.05, 2.1, 2.25
1, 2.75, 2.8, 2.6, 2.8, 2.79, 2.8, 2.63, 2.8
1, 2.2, 2.05, 2.2, 2.1, 2.23, 2.15, 2.2, 2.25
0, 1.67, 1.65, 1.6, 1.6, 1.69, 1.65, 1.62, 1.67
1, 1.22, 1.22, 1.2, 1.25, 1.26, 1.25, 1.25, 1.25
0, 13, 11, 8.5, 11, 12.1, 9, 10, 12
0, 4.5, 4.4, 4.2, 4.33, 4.49, 4.33, 4.33, 4.75
1, 1.75, 1.65, 1.65, 1.72, 1.76, 1.73, 1.73, 1.8
0, 2.3, 2.2, 2.2, 2.2, 2.35, 2.3, 2.25, 2.38
0, 6, 6.25, 5, 5.75, 6.29, 5, 5.75, 6.25
1, 1.1, 1.11, 1.1, 1.13, 1.15, 1.12, 1.13, 1.13
0, 4.75, 4.33, 4.2, 4.33, 4.82, 4.2, 4.33, 4.75
