SIGN, B365H, B365D, B365A, BWH, BWD, BWA, IWH, IWD, IWA, LBH, LBD, LBA, PSH, PSD, PSA, WHH, WHD, WHA, SJH, SJD, SJA, VCH, VCD, VCA
1.00, 1.17, 7.00, 15.00, 1.15, 6.75, 15.50, 1.15, 6.75, 15.50, 1.12, 6.00, 16.00, 1.14, 6.00, 13.00, 1.50, , 1.50, 1.15, 6.50, 15.00, 1.17, 6.50, 15.00
-1.00, 6.00, 4.00, 1.53, 6.25, 4.10, 1.48, 6.25, 4.10, 1.48, 6.30, 3.50, 1.50, 6.00, 3.60, 1.50, 7.05, 4.49, 1.50, 6.50, 3.80, 1.50, 6.50, 3.80, 1.50
1.00, 2.38, 3.25, 3.00, 2.35, 3.30, 3.20, 2.35, 3.30, 3.20, 2.30, 3.10, 2.80, 2.30, 3.00, 2.80, 2.48, 3.32, 3.07, 2.30, 3.10, 3.00, 2.40, 3.20, 3.00
0.00, 1.80, 3.40, 4.75, 1.78, 3.30, 4.60, 1.78, 3.30, 4.60, 1.80, 3.10, 3.80, 1.67, 3.25, 4.50, 1.75, 3.64, 5.36, 1.73, 3.30, 4.80, 1.73, 3.50, 4.80
0.00, 2.63, 3.20, 2.70, 2.65, 3.10, 2.65, 2.65, 3.10, 2.65, 2.50, 3.00, 2.70, 2.50, 3.00, 2.60, 2.65, 3.28, 2.88, 2.60, 3.00, 2.70, 2.63, 3.13, 2.63
1.00, 1.17, 7.00, 15.00, 1.18, 6.50, 12.50, 1.18, 6.50, 12.50, 1.17, 5.40, 13.00, 1.17, 6.00, 11.00, 1.20, 7.10, 17.75, 1.18, 6.00, 13.00, 1.20, 6.00, 13.00
0.00, 2.20, 3.20, 3.40, 2.05, 3.10, 3.70, 2.05, 3.10, 3.70, 2.00, 3.10, 3.40, 2.10, 3.00, 3.20, 2.20, 3.31, 3.66, 2.15, 3.10, 3.30, 2.20, 3.20, 3.40
1.00, 1.91, 3.40, 4.00, 1.80, 3.50, 4.20, 1.80, 3.50, 4.20, 1.80, 3.10, 4.20, 1.83, 3.20, 3.80, 1.90, 3.66, 4.34, 1.91, 3.30, 3.80, 1.83, 3.40, 4.33
-1.00, 2.63, 3.10, 2.75, 2.45, 3.00, 2.95, 2.45, 3.00, 2.95, 2.50, 3.00, 2.70, 2.50, 3.00, 2.62, 2.77, 3.18, 2.82, 2.70, 2.90, 2.70, 2.60, 3.13, 2.80
-1.00, 3.60, 3.30, 2.05, 4.10, 3.30, 1.87, 4.10, 3.30, 1.87, 4.00, 3.00, 1.90, 3.40, 3.00, 2.00, 3.79, 3.48, 2.09, 3.40, 3.25, 2.05, 3.75, 3.20, 2.05
0.00, 4.20, 3.20, 1.95, 4.20, 3.25, 1.87, 4.20, 3.25, 1.87, 4.20, 3.00, 1.85, 3.75, 3.20, 1.83, 4.40, 3.46, 1.94, 4.00, 3.30, 1.85, 4.00, 3.30, 1.91
0.00, 2.25, 3.25, 3.20, 2.15, 3.10, 3.40, 2.15, 3.10, 3.40, 2.20, 3.00, 3.10, 2.20, 3.00, 3.00, 2.32, 3.30, 3.38, 2.25, 3.00, 3.20, 2.25, 3.20, 3.13
1.00, 2.00, 3.20, 4.00, 2.10, 3.20, 3.40, 2.10, 3.20, 3.40, 2.00, 3.10, 3.40, 2.00, 3.00, 3.40, 2.09, 3.38, 3.99, 2.00, 3.20, 3.60, 2.00, 3.25, 3.75
1.00, 1.10, 9.00, 26.00, 1.11, 7.75, 20.00, 1.11, 7.75, 20.00, 1.11, 6.50, 17.00, 1.10, 7.00, 15.00, 1.50, , 1.50, 1.12, 7.00, 17.00, 1.13, 8.50, 17.00
-1.00, 2.00, 3.20, 4.00, 1.95, 3.20, 3.90, 1.95, 3.20, 3.90, 1.90, 3.10, 3.80, 1.91, 3.20, 3.60, 2.03, 3.34, 4.20, 1.95, 3.20, 3.80, 2.00, 3.25, 3.80
1.00, 2.15, 3.20, 3.50, 2.20, 3.10, 3.30, 2.20, 3.10, 3.30, 2.10, 3.00, 3.30, 2.10, 3.00, 3.20, 2.24, 3.43, 3.42, 2.15, 3.20, 3.20, 2.20, 3.20, 3.30
1.00, 2.50, 3.20, 2.88, 2.35, 3.10, 3.00, 2.35, 3.10, 3.00, 2.40, 2.90, 2.90, 2.40, 3.00, 2.75, 2.64, 3.26, 2.91, 2.38, 3.20, 2.80, 2.50, 3.13, 2.88
0.00, 2.30, 3.10, 3.25, 2.30, 3.10, 3.10, 2.30, 3.10, 3.10, 2.30, 2.90, 3.00, 2.25, 3.00, 2.88, 2.36, 3.31, 3.28, 2.25, 3.10, 3.10, 2.25, 3.20, 3.13
-1.00, 4.00, 3.30, 1.95, 4.10, 3.25, 1.90, 4.10, 3.25, 1.90, 3.80, 3.10, 1.90, 3.60, 3.20, 1.91, 4.15, 3.58, 1.96, 3.60, 3.20, 2.00, 3.80, 3.30, 1.95
-1.00, 3.75, 3.40, 2.00, 3.90, 3.40, 1.90, 3.90, 3.40, 1.90, 3.80, 3.10, 1.90, 3.50, 3.20, 1.91, 4.01, 3.44, 2.04, 3.60, 3.20, 2.00, 3.80, 3.30, 1.95
1.00, 3.10, 3.10, 2.40, 2.80, 3.10, 2.50, 2.80, 3.10, 2.50, 2.80, 3.00, 2.40, 2.75, 3.00, 2.38, 3.06, 3.26, 2.52, 2.88, 3.00, 2.45, 2.88, 3.13, 2.50
1.00, 1.22, 5.25, 17.00, 1.22, 5.75, 11.50, 1.22, 5.75, 11.50, 1.22, 4.80, 11.00, 1.20, 5.00, 12.00, 1.24, 6.01, 16.85, 1.20, 6.00, 11.00, 1.25, 5.25, 13.00
0.00, 2.88, 3.30, 2.40, 3.00, 3.20, 2.30, 3.00, 3.20, 2.30, 2.80, 3.10, 2.30, 2.80, 3.00, 2.30, 3.04, 3.43, 2.44, 2.88, 3.25, 2.30, 2.88, 3.25, 2.40
0.00, 2.10, 3.10, 3.75, 2.10, 3.10, 3.60, 2.10, 3.10, 3.60, 2.10, 2.90, 3.40, 2.10, 3.00, 3.20, 2.23, 3.31, 3.58, 2.15, 3.10, 3.30, 2.20, 3.13, 3.50
0.00, 2.40, 3.10, 3.10, 2.25, 3.00, 3.30, 2.25, 3.00, 3.30, 2.20, 2.80, 3.30, 2.30, 3.00, 2.88, 2.44, 3.28, 3.18, 2.30, 3.10, 3.00, 2.30, 3.13, 3.13
1.00, 2.10, 3.30, 3.50, 2.15, 3.20, 3.30, 2.15, 3.20, 3.30, 2.10, 3.05, 3.25, 2.10, 3.00, 3.20, 2.16, 3.43, 3.62, 2.10, 3.10, 3.40, 2.20, 3.20, 3.40
1.00, 1.50, 3.75, 7.50, 1.45, 4.33, 6.25, 1.45, 4.33, 6.25, 1.45, 3.60, 7.00, 1.44, 3.80, 6.00, 1.45, 4.48, 8.45, 1.44, 4.20, 6.50, 1.50, 4.00, 7.00
1.00, 1.95, 3.30, 4.00, 1.87, 3.10, 4.50, 1.87, 3.10, 4.50, 2.00, 3.10, 3.50, 1.91, 3.20, 3.60, 1.98, 3.47, 4.24, 2.00, 3.20, 3.60, 1.95, 3.30, 3.80
0.00, 2.50, 3.20, 2.80, 2.50, 3.00, 2.85, 2.50, 3.00, 2.85, 2.50, 3.00, 2.70, 2.38, 3.00, 2.75, 2.56, 3.30, 2.97, 2.45, 3.10, 2.80, 2.50, 3.20, 2.75
1.00, 1.18, 7.00, 14.00, 1.16, 7.00, 13.50, 1.16, 7.00, 13.50, 1.15, 5.70, 14.00, 1.17, 6.00, 11.00, 1.19, 7.66, 16.28, 1.20, 6.00, 11.00, 1.18, 6.50, 12.00
-1.00, 1.83, 3.50, 4.20, 1.80, 3.30, 4.50, 1.80, 3.30, 4.50, 1.90, 3.00, 4.00, 1.80, 3.20, 4.00, 1.83, 3.58, 5.01, 1.83, 3.25, 4.20, 1.83, 3.30, 4.33
-1.00, 1.73, 3.60, 4.75, 1.70, 3.30, 5.25, 1.70, 3.30, 5.25, 1.70, 3.30, 4.50, 1.67, 3.40, 4.50, 1.76, 3.74, 5.13, 1.70, 3.40, 4.80, 1.67, 3.60, 5.25
-1.00, 8.50, 4.75, 1.36, 8.00, 4.50, 1.36, 8.00, 4.50, 1.36, 8.00, 4.00, 1.35, 7.50, 4.33, 1.33, 9.10, 4.95, 1.39, 7.50, 4.50, 1.36, 8.50, 4.33, 1.40
0.00, 2.00, 3.30, 3.75, 2.00, 3.15, 3.75, 2.00, 3.15, 3.75, 2.00, 3.10, 3.50, 1.91, 3.20, 3.60, 1.99, 3.46, 4.19, 2.00, 3.20, 3.60, 2.00, 3.30, 3.75
1.00, 1.33, 5.00, 9.00, 1.28, 5.00, 10.00, 1.28, 5.00, 10.00, 1.30, 4.40, 8.50, 1.29, 4.50, 8.00, 1.32, 5.59, 10.44, 1.33, 4.60, 8.00, 1.33, 5.00, 8.50
0.00, 2.50, 3.20, 2.80, 2.45, 3.10, 2.85, 2.45, 3.10, 2.85, 2.30, 3.00, 2.90, 2.38, 3.00, 2.75, 2.50, 3.30, 3.06, 2.45, 3.00, 2.88, 2.20, 3.20, 3.40
1.00, 3.75, 3.20, 2.05, 3.90, 3.10, 2.00, 3.90, 3.10, 2.00, 3.80, 3.20, 1.90, 3.40, 3.00, 2.00, 4.09, 3.51, 2.00, 3.40, 3.40, 2.00, 3.75, 3.25, 2.00
0.00, 2.30, 3.30, 3.10, 2.20, 3.40, 3.00, 2.20, 3.40, 3.00, 2.25, 3.10, 3.10, 2.25, 3.00, 2.88, 2.37, 3.40, 3.19, 2.38, 3.10, 2.88, 2.25, 3.40, 3.00
-1.00, 2.50, 3.10, 2.90, 2.40, 3.10, 2.90, 2.40, 3.10, 2.90, 2.40, 3.00, 2.80, 2.40, 3.00, 2.75, 2.59, 3.26, 2.98, 2.50, 3.00, 2.80, 2.50, 3.13, 2.88
-1.00, 3.75, 3.30, 2.00, 3.80, 3.30, 1.95, 3.80, 3.30, 1.95, 3.20, 3.10, 2.10, 3.25, 3.00, 2.10, 4.16, 3.46, 1.99, 3.60, 3.20, 2.00, 3.80, 3.30, 2.00
1.00, 2.00, 3.30, 3.75, 2.00, 3.10, 3.90, 2.00, 3.10, 3.90, 1.85, 3.20, 3.90, 1.91, 3.20, 3.60, 2.02, 3.48, 4.06, 2.00, 3.20, 3.60, 2.00, 3.25, 3.80
1.00, 2.30, 3.25, 3.10, 2.30, 3.10, 3.10, 2.30, 3.10, 3.10, 2.10, 3.10, 3.20, 2.25, 3.00, 2.88, 2.43, 3.33, 3.16, 2.30, 3.00, 3.10, 2.30, 3.20, 3.00
-1.00, 2.50, 3.20, 2.80, 2.50, 3.10, 2.80, 2.50, 3.10, 2.80, 2.30, 3.00, 2.90, 2.38, 3.00, 2.75, 2.57, 3.25, 3.00, 2.45, 3.00, 2.88, 2.50, 3.13, 2.80
1.00, 1.44, 4.20, 7.50, 1.36, 4.50, 8.25, 1.36, 4.50, 8.25, 1.40, 3.70, 7.50, 1.36, 4.00, 7.00, 1.45, 4.63, 8.46, 1.44, 3.80, 7.50, 1.40, 4.33, 8.00
1.00, 1.20, 6.50, 13.00, 1.17, 6.25, 15.00, 1.17, 6.25, 15.00, 1.17, 5.40, 13.00, 1.16, 6.00, 11.00, 1.21, 6.90, 16.60, 1.18, 6.00, 13.00, 1.20, 6.25, 13.00
-1.00, 2.00, 3.30, 3.80, 1.95, 3.10, 4.10, 1.95, 3.10, 4.10, 1.90, 3.10, 3.90, 1.90, 3.20, 3.40, 2.03, 3.46, 4.02, 2.00, 3.20, 3.60, 2.00, 3.30, 3.80
1.00, 1.91, 3.40, 4.00, 1.87, 3.25, 4.20, 1.87, 3.25, 4.20, 1.85, 3.10, 4.00, 1.90, 3.20, 3.60, 2.01, 3.41, 4.19, 2.00, 3.10, 3.75, 1.95, 3.30, 4.00
-1.00, 1.91, 3.30, 4.20, 2.00, 3.25, 3.70, 2.00, 3.25, 3.70, 2.00, 3.10, 3.50, 1.90, 3.20, 3.50, 2.00, 3.44, 4.18, 2.05, 3.10, 3.60, 2.00, 3.20, 3.80
1.00, 1.33, 5.00, 9.00, 1.30, 5.00, 9.00, 1.30, 5.00, 9.00, 1.35, 4.00, 8.00, 1.30, 4.50, 8.00, 1.37, 5.19, 9.35, 1.30, 4.80, 9.00, 1.36, 5.00, 8.00
1.00, 2.50, 3.20, 2.88, 2.50, 3.00, 2.85, 2.50, 3.00, 2.85, 2.40, 3.00, 2.80, 1.50, , 1.50, 2.66, 3.40, 2.78, 2.45, 3.20, 2.70, 2.50, 3.13, 2.80
-1.00, 11.00, 5.75, 1.25, 11.00, 5.25, 1.25, 11.00, 5.25, 1.25, 8.50, 4.40, 1.30, 1.50, , 1.50, 15.39, 7.06, 1.22, 9.00, 5.00, 1.29, 11.00, 5.75, 1.25
-1.00, 15.00, 5.50, 1.22, 9.50, 5.50, 1.26, 9.50, 5.50, 1.26, 10.50, 4.60, 1.25, 1.50, , 1.50, 13.58, 6.43, 1.25, 11.00, 5.00, 1.25, 11.00, 5.80, 1.25
1.00, 2.00, 3.40, 3.75, 2.00, 3.10, 3.90, 2.00, 3.10, 3.90, 2.00, 3.10, 3.40, 2.00, 3.25, 3.60, 2.00, 3.44, 4.26, 2.00, 3.20, 3.60, 2.00, 3.25, 3.80
-1.00, 3.75, 3.40, 2.00, 3.70, 3.40, 1.95, 3.70, 3.40, 1.95, 3.40, 3.10, 2.00, 3.60, 3.25, 2.00, 3.73, 3.51, 2.10, 3.40, 3.40, 2.00, 3.50, 3.30, 2.10
0.00, 1.91, 3.25, 4.33, 1.90, 3.25, 4.10, 1.90, 3.25, 4.10, 1.90, 3.10, 3.80, 1.90, 3.30, 3.80, 2.00, 3.44, 4.17, 1.95, 3.20, 3.80, 1.95, 3.30, 4.00
0.00, 2.45, 3.10, 3.00, 2.30, 3.10, 3.10, 2.30, 3.10, 3.10, 2.30, 3.00, 2.90, 2.37, 3.10, 2.90, 2.58, 3.24, 3.00, 2.50, 3.00, 2.80, 2.50, 3.13, 2.88
-1.00, 3.75, 3.20, 2.05, 3.75, 3.20, 2.00, 3.75, 3.20, 2.00, 3.80, 3.10, 1.90, 3.60, 3.25, 2.00, 3.91, 3.34, 2.11, 3.80, 3.10, 2.00, 3.80, 3.25, 2.00
-1.00, 3.40, 3.10, 2.25, 3.10, 3.10, 2.30, 3.10, 3.10, 2.30, 2.90, 3.10, 2.30, 3.10, 3.20, 2.20, 3.32, 3.41, 2.30, 3.00, 3.20, 2.25, 3.13, 3.20, 2.25
0.00, 1.50, 3.75, 7.50, 1.53, 3.70, 6.50, 1.53, 3.70, 6.50, 1.45, 3.60, 7.00, 1.44, 4.00, 7.00, 1.48, 4.23, 8.53, 1.44, 4.00, 7.00, 1.50, 3.75, 7.50
1.00, 1.20, 6.50, 13.00, 1.15, 7.00, 15.00, 1.15, 7.00, 15.00, 1.12, 6.00, 16.00, 1.14, 7.00, 15.00, 1.16, 8.20, 22.00, 1.15, 6.50, 15.00, 1.17, 7.00, 15.00
-1.00, 8.50, 4.75, 1.36, 8.00, 4.75, 1.34, 8.00, 4.75, 1.34, 8.00, 4.00, 1.35, 8.00, 4.50, 1.28, 10.56, 5.09, 1.35, 8.50, 4.50, 1.33, 9.50, 4.33, 1.36
1.00, 3.25, 3.25, 2.25, 3.40, 3.25, 2.10, 3.40, 3.25, 2.10, 3.10, 3.00, 2.20, 2.80, 3.20, 2.20, 3.40, 3.39, 2.27, 3.20, 3.00, 2.25, 3.00, 3.25, 2.30
0.00, 5.50, 3.60, 1.65, 5.00, 3.50, 1.67, 5.00, 3.50, 1.67, 4.90, 3.30, 1.65, 5.00, 3.30, 1.61, 5.74, 3.88, 1.67, 4.60, 3.40, 1.73, 5.25, 3.50, 1.67
1.00, 1.10, 9.00, 21.00, 1.10, 8.00, 21.00, 1.10, 8.00, 21.00, 1.10, 6.50, 17.00, 1.10, 7.00, 13.00, 1.50, , 1.50, 1.08, 8.50, 21.00, 1.13, 9.00, 17.00
1.00, 2.63, 3.10, 2.75, 2.65, 2.90, 2.80, 2.65, 2.90, 2.80, 2.40, 3.00, 2.80, 2.50, 3.10, 2.50, 2.73, 3.24, 2.81, 2.45, 3.00, 2.88, 2.60, 3.13, 2.75
-1.00, 1.57, 3.80, 6.00, 1.60, 3.70, 5.50, 1.60, 3.70, 5.50, 1.60, 3.40, 5.20, 1.50, , 1.50, 1.62, 4.08, 5.90, 1.65, 3.60, 4.80, 1.62, 3.75, 5.50
0.00, 2.60, 3.20, 2.75, 2.65, 2.90, 2.80, 2.65, 2.90, 2.80, 2.40, 3.00, 2.80, 2.50, 3.10, 2.50, 2.72, 3.33, 2.77, 2.50, 3.10, 2.70, 2.50, 3.13, 2.80
1.00, 2.05, 3.25, 3.75, 1.95, 3.10, 4.10, 1.95, 3.10, 4.10, 2.00, 3.10, 3.40, 1.95, 3.20, 3.30, 2.05, 3.46, 3.94, 2.00, 3.20, 3.60, 2.00, 3.20, 3.80
1.00, 2.00, 3.40, 3.75, 2.10, 3.10, 3.60, 2.10, 3.10, 3.60, 2.00, 3.10, 3.40, 2.10, 3.10, 3.40, 2.09, 3.45, 3.82, 2.05, 3.25, 3.40, 2.05, 3.25, 3.60
-1.00, 2.50, 3.20, 2.88, 2.50, 3.00, 2.85, 2.50, 3.00, 2.85, 2.30, 3.00, 2.90, 2.50, 3.00, 2.75, 2.65, 3.28, 2.88, 2.45, 3.10, 2.80, 2.40, 3.20, 2.88
1.00, 2.50, 3.20, 2.80, 2.50, 3.00, 2.90, 2.50, 3.00, 2.90, 2.50, 3.00, 2.70, 2.50, 3.00, 2.75, 2.47, 3.34, 3.06, 2.45, 3.20, 2.70, 2.60, 3.13, 2.80
0.00, 8.00, 4.00, 1.44, 7.25, 4.20, 1.42, 7.25, 4.20, 1.42, 7.00, 3.60, 1.45, 7.50, 4.00, 1.40, 7.47, 4.71, 1.46, 6.00, 4.33, 1.44, 7.50, 4.00, 1.44
0.00, 1.10, 10.00, 13.00, 1.10, 9.00, 16.50, 1.10, 9.00, 16.50, 1.10, 6.50, 17.00, 1.10, 8.00, 17.00, 1.50, , 1.50, 1.10, 8.00, 17.00, 1.10, 9.50, 17.00
1.00, 2.38, 3.20, 3.00, 2.40, 2.95, 3.10, 2.40, 2.95, 3.10, 2.30, 3.00, 2.90, 2.37, 3.10, 2.87, 2.49, 3.39, 3.00, 2.25, 3.20, 3.00, 2.40, 3.13, 3.00
-1.00, 1.67, 3.60, 5.50, 1.65, 3.40, 5.50, 1.65, 3.40, 5.50, 1.60, 3.40, 5.20, 1.57, 3.60, 5.50, 1.65, 3.78, 6.25, 1.62, 3.50, 5.50, 1.62, 3.60, 6.00
-1.00, 1.62, 3.60, 6.00, 1.62, 3.75, 5.00, 1.62, 3.75, 5.00, 1.60, 3.40, 5.20, 1.57, 3.75, 5.00, 1.60, 4.14, 6.11, 1.65, 3.60, 4.80, 1.62, 3.75, 5.50
-1.00, 10.00, 5.50, 1.29, 11.50, 5.75, 1.22, 11.50, 5.75, 1.22, 10.50, 4.60, 1.25, 10.00, 5.00, 1.25, 11.30, 6.20, 1.29, 9.00, 5.00, 1.29, 9.00, 5.75, 1.27
-1.00, 3.60, 3.25, 2.10, 3.40, 3.20, 2.10, 3.40, 3.20, 2.10, 3.20, 2.90, 2.20, 3.20, 3.10, 2.10, 3.92, 3.38, 2.09, 3.40, 3.10, 2.10, 3.40, 3.25, 2.10
1.00, 1.22, 6.00, 13.00, 1.20, 6.00, 12.50, 1.20, 6.00, 12.50, 1.20, 5.00, 12.00, 1.20, 6.00, 11.00, 1.22, 6.90, 15.70, 1.20, 6.00, 11.00, 1.20, 6.25, 12.00
1.00, 2.05, 3.25, 3.75, 2.00, 3.00, 4.00, 2.00, 3.00, 4.00, 1.90, 3.00, 4.00, 1.50, , 1.50, 2.08, 3.44, 3.87, 1.95, 3.25, 3.75, 1.95, 3.30, 3.80
1.00, 2.25, 3.25, 3.25, 2.15, 3.10, 3.40, 2.15, 3.10, 3.40, 2.10, 3.00, 3.30, 2.20, 3.00, 3.20, 2.33, 3.28, 3.38, 2.15, 3.10, 3.30, 2.25, 3.20, 3.25
-1.00, 2.00, 3.30, 3.80, 2.00, 3.00, 4.00, 2.00, 3.00, 4.00, 2.00, 2.90, 3.70, 1.90, 3.20, 3.75, 2.06, 3.46, 3.92, 1.95, 3.25, 3.75, 2.00, 3.30, 3.80
0.00, 2.10, 3.30, 3.50, 2.05, 3.25, 3.50, 2.05, 3.25, 3.50, 2.00, 3.10, 3.50, 2.00, 3.20, 3.25, 2.13, 3.50, 3.65, 2.05, 3.25, 3.40, 2.10, 3.30, 3.50
0.00, 3.40, 3.40, 2.10, 3.50, 3.25, 2.05, 3.50, 3.25, 2.05, 3.30, 3.00, 2.10, 3.25, 3.20, 2.05, 3.54, 3.62, 2.12, 3.25, 3.40, 2.05, 3.50, 3.30, 2.05
1.00, 3.00, 3.25, 2.38, 3.15, 3.25, 2.20, 3.15, 3.25, 2.20, 3.10, 3.00, 2.20, 2.87, 3.00, 2.25, 3.21, 3.40, 2.37, 3.00, 3.10, 2.38, 3.13, 3.20, 2.30
1.00, 1.22, 6.00, 12.00, 1.19, 6.25, 12.50, 1.19, 6.25, 12.50, 1.17, 5.40, 13.00, 1.20, 5.50, 10.00, 1.50, , 1.50, 1.20, 5.50, 13.00, 1.20, 6.50, 12.00
1.00, 2.38, 3.25, 3.00, 2.35, 3.10, 3.00, 2.35, 3.10, 3.00, 2.30, 3.00, 2.90, 2.30, 3.00, 2.87, 2.44, 3.31, 3.15, 2.25, 3.10, 3.10, 2.30, 3.20, 3.13
1.00, 1.44, 4.00, 8.50, 1.45, 4.20, 6.50, 1.45, 4.20, 6.50, 1.50, 3.50, 6.30, 1.44, 3.80, 6.50, 1.46, 4.54, 8.12, 1.50, 4.00, 5.50, 1.44, 4.00, 8.00
1.00, 1.25, 5.25, 13.00, 1.22, 5.50, 12.50, 1.22, 5.50, 12.50, 1.22, 4.80, 11.00, 1.22, 5.00, 10.00, 1.29, 5.70, 12.00, 1.25, 5.00, 11.00, 1.29, 5.00, 11.00
0.00, 2.30, 3.20, 3.20, 2.40, 3.00, 3.00, 2.40, 3.00, 3.00, 2.30, 3.00, 2.90, 2.30, 3.00, 2.87, 2.38, 3.29, 3.27, 2.45, 3.00, 2.88, 2.38, 3.13, 3.00
1.00, 1.80, 3.50, 4.50, 1.75, 3.40, 4.60, 1.75, 3.40, 4.60, 1.75, 3.20, 4.30, 1.72, 3.25, 4.33, 1.81, 3.68, 4.89, 1.75, 3.40, 4.50, 1.80, 3.40, 4.80
-1.00, 2.40, 3.20, 3.00, 2.50, 3.00, 2.85, 2.50, 3.00, 2.85, 2.40, 3.00, 2.80, 2.30, 3.00, 2.80, 2.49, 3.29, 3.10, 2.38, 3.10, 2.88, 2.50, 3.13, 2.88
1.00, 1.62, 3.60, 6.00, 1.62, 3.40, 6.00, 1.62, 3.40, 6.00, 1.65, 3.30, 4.90, 1.61, 3.50, 5.00, 1.62, 3.91, 6.23, 1.65, 3.50, 5.00, 1.62, 3.50, 5.75
0.00, 5.00, 3.75, 1.67, 5.25, 3.50, 1.65, 5.25, 3.50, 1.65, 4.50, 3.30, 1.70, 4.33, 3.40, 1.72, 5.70, 3.87, 1.68, 5.00, 3.50, 1.67, 5.00, 3.60, 1.67
-1.00, 12.00, 5.50, 1.25, 10.50, 5.25, 1.26, 10.50, 5.25, 1.26, 11.00, 4.80, 1.22, 10.00, 5.00, 1.25, 11.70, 5.70, 1.30, 11.00, 5.00, 1.25, 12.00, 5.00, 1.29
-1.00, 3.20, 3.20, 2.25, 2.95, 3.10, 2.40, 2.95, 3.10, 2.40, 2.80, 3.00, 2.40, 2.70, 3.20, 2.37, 3.09, 3.44, 2.41, 2.80, 3.20, 2.38, 3.00, 3.20, 2.38
0.00, 1.91, 3.30, 4.20, 1.70, 3.50, 4.75, 1.70, 3.50, 4.75, 1.80, 3.20, 4.10, 1.83, 3.40, 3.75, 1.87, 3.54, 4.70, 1.80, 3.30, 4.33, 1.83, 3.40, 4.33
-1.00, 2.05, 3.25, 3.75, 2.15, 3.10, 3.40, 2.15, 3.10, 3.40, 2.00, 3.10, 3.40, 2.10, 3.20, 3.20, 2.16, 3.40, 3.66, 2.00, 3.20, 3.60, 2.10, 3.20, 3.50
1.00, 2.40, 3.20, 3.00, 2.35, 3.00, 3.10, 2.35, 3.00, 3.10, 2.30, 3.00, 2.90, 2.37, 3.10, 2.75, 2.44, 3.30, 3.15, 2.45, 3.00, 2.88, 2.38, 3.20, 3.00
-1.00, 5.50, 3.80, 1.62, 4.75, 3.70, 1.67, 4.75, 3.70, 1.67, 4.50, 3.30, 1.70, 4.33, 3.40, 1.72, 5.70, 4.04, 1.65, 4.50, 3.75, 1.67, 5.50, 3.60, 1.62
1.00, 1.25, 5.25, 13.00, 1.22, 5.75, 11.50, 1.22, 5.75, 11.50, 1.20, 5.00, 12.00, 1.20, 5.00, 11.00, 1.23, 6.43, 15.87, 1.25, 5.00, 11.00, 1.25, 5.50, 11.00
0.00, 3.10, 3.40, 2.25, 2.90, 3.25, 2.35, 2.90, 3.25, 2.35, 2.90, 3.00, 2.30, 3.00, 3.25, 2.25, 3.30, 3.38, 2.32, 3.00, 3.10, 2.30, 3.00, 3.30, 2.30
1.00, 1.53, 4.20, 5.75, 1.55, 3.90, 5.50, 1.55, 3.90, 5.50, 1.55, 3.40, 5.80, 1.53, 3.75, 6.00, 1.56, 4.30, 6.31, 1.55, 3.80, 5.50, 1.57, 3.75, 6.25
1.00, 1.17, 6.00, 23.00, 1.14, 7.00, 16.50, 1.14, 7.00, 16.50, 1.15, 5.70, 14.00, 1.16, 6.50, 15.00, 1.19, 7.47, 18.17, 1.18, 6.00, 13.00, 1.17, 6.50, 15.00
0.00, 2.10, 3.40, 3.40, 2.25, 3.00, 3.30, 2.25, 3.00, 3.30, 2.10, 3.00, 3.30, 2.20, 3.20, 3.25, 2.23, 3.33, 3.55, 2.15, 3.10, 3.30, 2.20, 3.25, 3.20
0.00, 2.00, 3.50, 3.60, 2.15, 3.20, 3.30, 2.15, 3.20, 3.30, 2.00, 3.10, 3.40, 2.05, 3.40, 3.25, 2.17, 3.52, 3.50, 2.05, 3.40, 3.25, 2.10, 3.20, 3.50
0.00, 1.57, 4.00, 5.75, 1.60, 3.50, 6.00, 1.60, 3.50, 6.00, 1.50, 3.50, 6.30, 1.57, 3.50, 6.00, 1.60, 3.92, 6.77, 1.55, 3.60, 6.00, 1.57, 3.60, 6.25
-1.00, 2.50, 3.30, 2.75, 2.50, 3.00, 2.90, 2.50, 3.00, 2.90, 2.30, 3.00, 2.90, 2.40, 3.20, 2.87, 2.61, 3.25, 2.95, 2.30, 3.10, 3.00, 2.50, 3.25, 2.88
-1.00, 5.50, 3.80, 1.62, 5.50, 3.70, 1.60, 5.50, 3.70, 1.60, 5.00, 3.50, 1.60, 5.00, 3.50, 1.57, 5.97, 3.99, 1.63, 5.00, 3.75, 1.62, 5.50, 3.75, 1.62
-1.00, 3.50, 3.10, 2.20, 3.30, 3.00, 2.25, 3.30, 3.00, 2.25, 3.00, 3.10, 2.20, 3.00, 3.20, 2.10, 3.49, 3.25, 2.29, 3.20, 3.00, 2.25, 3.30, 3.13, 2.25
1.00, 1.44, 4.10, 8.00, 1.44, 4.00, 7.25, 1.44, 4.00, 7.25, 1.50, 3.70, 6.00, 1.40, 3.75, 7.00, 1.52, 4.26, 7.25, 1.44, 4.00, 7.00, 1.44, 4.00, 7.50
0.00, 3.00, 3.25, 2.38, 3.30, 3.00, 2.25, 3.30, 3.00, 2.25, 3.00, 3.10, 2.20, 2.75, 3.25, 2.20, 3.05, 3.29, 2.51, 2.80, 3.10, 2.45, 3.00, 3.13, 2.38
